request_type,name,response_time,response_length,status_code
GET,/hotels,12557.95705300261,178, 500
GET,/hotels,2526.9743210010347,178, 500
GET,/hotels,3560.8235469990177,178, 500
GET,/hotels,5535.703036002815,178, 500
GET,/hotels,4552.347411998198,178, 500
GET,/hotels,7564.168921999226,178, 500
GET,/recommendations,2316.2082889975864,204, 200
GET,/hotels,3312.764199996309,43, 200
GET,/hotels,12407.704019999073,43, 200
GET,/hotels,16380.33750699833,43, 200
GET,/recommendations,8382.503698005166,204, 200
GET,/hotels,17447.17920399853,43, 200
GET,/recommendations,11471.537012999761,212, 200
GET,/recommendations,10690.984647997539,204, 200
GET,/hotels,15697.408949999954,43, 200
GET,/hotels,728.2448069963721,43, 200
GET,/hotels,596.3221170022734,43, 200
GET,/hotels,428.33171500387834,43, 200
GET,/hotels,979.245301001356,43, 200
GET,/hotels,309.2254629955278,43, 200
GET,/hotels,970.5285370000638,43, 200
GET,/recommendations,28.1801910023205,902, 200
GET,/recommendations,29.443480001646094,214, 200
GET,/hotels,1099.8021080013132,43, 200
POST,/user,18.71790099539794,64, 200
GET,/hotels,6031.192976995953,178, 500
GET,/hotels,1023.3104200015077,178, 500
GET,/hotels,3311.420840997016,178, 500
GET,/hotels,199.95747500070138,178, 500
GET,/hotels,669.8173600016162,178, 500
GET,/hotels,2956.0105979981017,178, 500
GET,/hotels,1319.9545160023263,178, 500
GET,/hotels,365.2054499980295,178, 500
GET,/hotels,317.10069499968085,178, 500
GET,/hotels,212.2326799944858,178, 500
GET,/hotels,213.51929500087863,178, 500
GET,/hotels,196.81535499694292,178, 500
GET,/recommendations,713.2944759941893,216, 200
GET,/hotels,180.76853000093251,178, 500
GET,/recommendations,33.49310899648117,902, 200
GET,/recommendations,167.63484299735865,902, 200
GET,/recommendations,150.8013810016564,902, 200
GET,/recommendations,33.74242899735691,204, 200
GET,/recommendations,26.493550998566207,204, 200
GET,/recommendations,24.659442002302967,902, 200
GET,/recommendations,31.96831300010672,902, 200
GET,/recommendations,25.202778000675607,902, 200
GET,/recommendations,25.39184099441627,204, 200
GET,/recommendations,28.57953399507096,204, 200
GET,/recommendations,62.097842994262464,204, 200
GET,/recommendations,39.38714700052515,215, 200
GET,/recommendations,28.869218003819697,902, 200
GET,/recommendations,23.800005998054985,211, 200
GET,/hotels,1093.5030359978555,43, 200
GET,/hotels,7491.218710005342,43, 200
GET,/hotels,7626.66012399859,43, 200
GET,/hotels,6906.672058001277,43, 200
GET,/hotels,3445.9301120004966,43, 200
GET,/hotels,6655.4692259960575,43, 200
GET,/hotels,3612.231986997358,43, 200
GET,/hotels,261.0535779967904,43, 200
GET,/hotels,9772.090935999586,178, 500
GET,/hotels,2981.2037290030275,178, 500
GET,/hotels,8787.761936000607,178, 500
GET,/hotels,134.1309010022087,178, 500
GET,/hotels,9650.340717998915,178, 500
GET,/hotels,215.12504900601925,178, 500
GET,/hotels,5791.0264159945655,178, 500
GET,/hotels,10004.583379995893,178, 500
GET,/hotels,10008.828664002067,178, 500
GET,/hotels,9829.769714000577,178, 500
GET,/recommendations,33.601750001253095,204, 200
GET,/hotels,44.747595995431766,43, 200
GET,/hotels,172.270008995838,43, 200
GET,/recommendations,57.929725997382775,204, 200
GET,/recommendations,262.40010499896016,215, 200
GET,/recommendations,22.27964100165991,215, 200
GET,/hotels,586.1956830049166,43, 200
GET,/recommendations,36.12821600108873,215, 200
GET,/recommendations,22.2679500002414,902, 200
GET,/hotels,1631.3250919993152,178, 500
GET,/hotels,4151.923678000458,178, 500
GET,/hotels,1489.2303119995631,178, 500
GET,/hotels,2202.064025004802,178, 500
GET,/recommendations,143.35902399761835,212, 200
GET,/hotels,25.69045400014147,178, 500
GET,/hotels,1792.3036509964732,43, 200
GET,/hotels,2482.6166150014615,902, 200
GET,/recommendations,74.11429599596886,902, 200
GET,/hotels,2619.9042459993507,902, 200
POST,/reservation,189.4976960029453,41, 200
GET,/recommendations,22.66559500276344,204, 200
GET,/hotels,31.806822997168638,178, 500
GET,/hotels,30.888765999407042,178, 500
GET,/recommendations,21.277937994454987,902, 200
GET,/hotels,23.93115199811291,178, 500
GET,/recommendations,20.699102999060415,212, 200
GET,/hotels,27.214669004024472,178, 500
GET,/hotels,38.80314600246493,178, 500
GET,/recommendations,20.767488997080363,902, 200
GET,/hotels,137.03440300014336,43, 200
GET,/hotels,3613.2910430023912,902, 200
GET,/recommendations,25.621556997066364,902, 200
GET,/hotels,628.1376920014736,43, 200
GET,/hotels,7516.964611000731,560, 200
GET,/recommendations,23.035267993691377,212, 200
GET,/recommendations,39.16420200403081,212, 200
GET,/recommendations,29.560802999185398,217, 200
GET,/recommendations,32.47629399993457,902, 200
GET,/hotels,252.7230839987169,43, 200
GET,/recommendations,24.63459000136936,211, 200
GET,/recommendations,30.651902001409326,204, 200
GET,/recommendations,31.20010600105161,212, 200
GET,/recommendations,106.3613720034482,212, 200
GET,/recommendations,20.97232900268864,204, 200
GET,/recommendations,23.200226001790725,204, 200
GET,/recommendations,21.692993002943695,204, 200
GET,/recommendations,23.193264998553786,902, 200
POST,/reservation,420.5031559977215,41, 200
GET,/hotels,5011.78370800335,902, 200
GET,/hotels,530.9182310011238,43, 200
GET,/hotels,4431.61978200078,902, 200
GET,/hotels,1802.4462399989716,178, 500
GET,/hotels,592.3731190050603,178, 500
GET,/recommendations,34.20179499516962,204, 200
GET,/hotels,868.137064993789,43, 200
GET,/recommendations,21.60660600202391,204, 200
GET,/recommendations,25.02903700224124,211, 200
GET,/hotels,368.92445600096835,43, 200
GET,/hotels,784.3036459962605,43, 200
GET,/recommendations,30.781451001530513,204, 200
GET,/recommendations,36.67261700320523,216, 200
GET,/hotels,249.2150620018947,43, 200
GET,/recommendations,27.254398999502882,204, 200
GET,/hotels,33.95089100376936,178, 500
GET,/hotels,35.01797799981432,178, 500
GET,/hotels,64.40532399574295,178, 500
GET,/recommendations,22.23645499907434,204, 200
GET,/recommendations,27.489243999298196,902, 200
GET,/hotels,8350.882972001273,902, 200
GET,/recommendations,28.19616600027075,902, 200
GET,/hotels,294.3867380017764,43, 200
GET,/recommendations,23.572419995616656,902, 200
GET,/recommendations,79.63548999396153,211, 200
GET,/hotels,189.89113600400742,43, 200
GET,/recommendations,38.785274999099784,902, 200
GET,/hotels,841.772375999426,43, 200
GET,/hotels,672.1267579996493,43, 200
GET,/hotels,89.52690900332527,43, 200
GET,/hotels,3048.3305960005964,178, 500
GET,/hotels,3442.3026619988377,178, 500
GET,/hotels,1362.7643910003826,178, 500
GET,/hotels,92.19224900152767,178, 500
GET,/hotels,104.50038200360723,43, 200
GET,/recommendations,65.63703199935844,902, 200
GET,/hotels,55.63576499844203,178, 500
GET,/recommendations,21.938222998869605,212, 200
GET,/recommendations,78.36095599486725,902, 200
GET,/recommendations,20.76909700554097,204, 200
GET,/hotels,1724.4671740045305,902, 200
GET,/hotels,218.05135699833045,43, 200
GET,/hotels,23.615576996235177,178, 500
GET,/hotels,50.078291998943314,178, 500
POST,/reservation,664.5122799964156,41, 200
GET,/recommendations,30.804642003204208,902, 200
GET,/recommendations,25.33823099656729,204, 200
GET,/recommendations,20.876659000350628,204, 200
GET,/recommendations,85.88312899519224,212, 200
GET,/hotels,25.328874005936086,178, 500
GET,/hotels,2660.0668840037542,902, 200
GET,/hotels,31.413210002938285,178, 500
GET,/recommendations,25.79554600379197,212, 200
GET,/hotels,68.53046899777837,178, 500
GET,/recommendations,23.780739997164346,212, 200
GET,/recommendations,25.91848199517699,214, 200
GET,/hotels,3270.1354730015737,902, 200
GET,/hotels,27.456533993245102,178, 500
POST,/reservation,242.47496199677698,41, 200
GET,/recommendations,30.073834001086652,204, 200
GET,/hotels,26.77659499750007,178, 500
GET,/hotels,30.3665129977162,178, 500
GET,/recommendations,30.951476997870486,902, 200
GET,/recommendations,37.648644000000786,204, 200
GET,/hotels,26.89229100360535,178, 500
GET,/hotels,25.627980001445394,178, 500
GET,/hotels,28.041213998221792,178, 500
GET,/recommendations,30.92668799945386,216, 200
GET,/recommendations,19.517731001542415,902, 200
GET,/hotels,27.95130199956475,178, 500
GET,/recommendations,25.180420001561288,204, 200
GET,/hotels,31.473251998249907,178, 500
GET,/hotels,23.43399000528734,178, 500
POST,/user,14.866445002553519,64, 200
GET,/hotels,27.875568994204514,178, 500
GET,/hotels,31.03058700071415,178, 500
GET,/recommendations,23.451100998499896,902, 200
GET,/recommendations,27.696200995706022,902, 200
GET,/hotels,26.251675000821706,178, 500
GET,/recommendations,41.20045200397726,215, 200
GET,/hotels,27.314434002619237,178, 500
GET,/recommendations,28.236291000212077,204, 200
GET,/recommendations,29.61813600268215,212, 200
GET,/recommendations,22.393418999854475,214, 200
GET,/recommendations,23.611707998497877,212, 200
GET,/hotels,29.793314999551512,178, 500
GET,/hotels,31.40067200001795,178, 500
GET,/hotels,29.396890000498388,178, 500
GET,/recommendations,21.504097996512428,204, 200
GET,/recommendations,28.15696500329068,204, 200
GET,/hotels,29.80946999741718,178, 500
GET,/hotels,22.227633999136742,178, 500
GET,/recommendations,23.74116900318768,204, 200
GET,/hotels,24.579734999861103,178, 500
GET,/hotels,27.9247399957967,178, 500
GET,/recommendations,22.797427998739295,212, 200
GET,/hotels,28.54609400674235,178, 500
GET,/hotels,28.482952999183908,178, 500
GET,/hotels,84.42879599897424,178, 500
GET,/hotels,23.652520998439286,178, 500
GET,/recommendations,23.900161002529785,212, 200
GET,/hotels,27.315813000313938,178, 500
GET,/recommendations,21.38377300434513,204, 200
GET,/hotels,25.177039999107365,178, 500
GET,/hotels,31.45569200569298,178, 500
GET,/recommendations,36.83519599871943,902, 200
POST,/reservation,242.17897999915294,41, 200
GET,/hotels,32.52671999507584,178, 500
GET,/hotels,31.01588199933758,178, 500
GET,/hotels,35.334795000380836,178, 500
GET,/hotels,32.835996003996115,178, 500
GET,/recommendations,25.98672699969029,902, 200
GET,/recommendations,167.28367900213925,204, 200
GET,/hotels,29.098489998432342,178, 500
GET,/hotels,35.00039700156776,178, 500
GET,/recommendations,162.07222400407773,204, 200
GET,/recommendations,72.72517399542267,204, 200
GET,/recommendations,52.32578000141075,902, 200
GET,/recommendations,39.80672499892535,212, 200
GET,/hotels,79.61223400343442,43, 200
GET,/recommendations,47.66865800047526,204, 200
GET,/recommendations,24.633943001390435,214, 200
GET,/hotels,554.3993519968353,43, 200
GET,/recommendations,72.84813099977328,214, 200
GET,/recommendations,179.7429690050194,902, 200
GET,/hotels,774.0146110008936,43, 200
GET,/hotels,656.7012919986155,43, 200
GET,/hotels,380.22638699476374,43, 200
GET,/hotels,273.0979110056069,43, 200
GET,/hotels,483.0591819991241,43, 200
GET,/recommendations,21.935980999842286,217, 200
GET,/recommendations,35.49546700378414,902, 200
GET,/recommendations,74.1536800051108,212, 200
GET,/recommendations,23.221098999783862,902, 200
GET,/recommendations,65.67981399712153,902, 200
