Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/hotels,28117,15395,2500.0,5148.728090180414,21.568039000158024,139613.00308499995,179.78098659174165,45.135504060290685,24.713201444257034,2500,4700,6800,8600,15000,19000,23000,26000,53000,134000,140000
GET,/recommendations,18884,0,150.0,839.6856390912417,16.549781000321673,138142.8083740002,438.268163524677,30.314004291870727,0.0,150,440,570,650,1500,3200,8500,13000,36000,137000,138000
POST,/reservation,509,0,520.0,1244.5868174263387,22.49939500052278,23706.620605999888,41.63261296660118,0.8170847375853739,0.0,520,750,940,1100,2300,4800,12000,15000,24000,24000,24000
POST,/user,497,0,95,692.2775249154926,16.599307000433328,20467.536226999982,64.0,0.7978214431825753,0.0,95,290,510,580,1300,2800,7300,14000,20000,20000,20000
,Aggregated,48007,15395,760.0,3366.1959285136522,16.549781000321673,139613.00308499995,278.7959464244798,77.06441453292936,24.713201444257034,760,2200,3800,5200,11000,17000,21000,24000,48000,134000,140000
