request_type,name,response_time,response_length,status_code
GET,/hotels,9413.640441998723,43, 200
GET,/hotels,5460.393343993928,43, 200
GET,/hotels,3442.061982001178,43, 200
GET,/hotels,12446.031467989087,902, 200
GET,/hotels,7491.1663770035375,902, 200
GET,/hotels,135.12945799448062,43, 200
GET,/hotels,2396.1576110013993,902, 200
GET,/hotels,199.5198340009665,902, 200
GET,/recommendations,10.449049004819244,902, 200
GET,/hotels,1067.062760994304,902, 200
POST,/user,18.53038500121329,64, 200
GET,/hotels,1222.3951919877436,902, 200
GET,/hotels,66.75872699997853,43, 200
GET,/hotels,133.9027130015893,43, 200
GET,/hotels,421.07440599647816,43, 200
GET,/recommendations,14.506167004583403,214, 200
GET,/hotels,666.1267379968194,43, 200
GET,/hotels,671.3069550023647,43, 200
GET,/hotels,1048.0762740044156,43, 200
GET,/recommendations,24.01259500766173,204, 200
GET,/recommendations,10.871984995901585,212, 200
GET,/recommendations,12.428609989001416,217, 200
GET,/hotels,5593.669914000202,178, 500
GET,/hotels,3668.753330988693,178, 500
GET,/hotels,503.3602400071686,178, 500
GET,/hotels,6524.497518999851,178, 500
GET,/hotels,3732.8248109988635,178, 500
GET,/hotels,4496.7590360029135,178, 500
GET,/hotels,1739.0036620054161,178, 500
GET,/recommendations,11.275033000856638,204, 200
GET,/hotels,29.848418998881243,43, 200
GET,/recommendations,9.161661990219727,212, 200
GET,/recommendations,14.303664996987209,204, 200
GET,/recommendations,12.535111993202008,212, 200
GET,/recommendations,40.247087003081106,902, 200
GET,/hotels,1118.8913240039255,902, 200
GET,/hotels,195.36574398807716,43, 200
GET,/recommendations,15.20366499607917,212, 200
POST,/user,6.042516004526988,64, 200
GET,/hotels,349.38698798941914,43, 200
GET,/hotels,643.4647209971445,43, 200
GET,/hotels,908.9176550041884,43, 200
GET,/recommendations,19.425786987994798,902, 200
GET,/recommendations,17.46055600233376,204, 200
GET,/hotels,1312.806158006424,43, 200
GET,/recommendations,11.181738998857327,902, 200
GET,/recommendations,18.39944200764876,902, 200
GET,/hotels,1644.0445259941043,178, 500
GET,/hotels,6406.432534000487,178, 500
GET,/hotels,5592.948215999058,178, 500
GET,/hotels,5331.764339003712,178, 500
GET,/hotels,3463.63519699662,178, 500
GET,/hotels,6818.394226007513,178, 500
GET,/hotels,1149.280481011374,178, 500
GET,/hotels,3434.817318993737,178, 500
GET,/recommendations,21.746295999037102,204, 200
GET,/recommendations,9.007917993585579,204, 200
GET,/recommendations,11.381948992493562,212, 200
GET,/recommendations,66.05007899634074,204, 200
GET,/hotels,2107.578626004397,43, 200
GET,/recommendations,16.626890006591566,902, 200
GET,/recommendations,49.69288400025107,204, 200
GET,/recommendations,26.389382997876965,902, 200
GET,/recommendations,22.23621901066508,212, 200
GET,/hotels,467.7145570021821,43, 200
GET,/hotels,3178.6877349950373,178, 500
GET,/hotels,2483.776683002361,178, 500
GET,/hotels,899.6642880083527,178, 500
GET,/hotels,126.85164299909957,178, 500
GET,/hotels,1112.368302012328,178, 500
GET,/hotels,2352.4561259982875,178, 500
GET,/recommendations,20.121041001402773,204, 200
GET,/recommendations,19.15389900386799,204, 200
GET,/recommendations,22.204087988939136,204, 200
GET,/recommendations,10.410208007670008,217, 200
GET,/recommendations,32.17769300681539,902, 200
GET,/recommendations,32.70150598837063,204, 200
GET,/hotels,476.60478099714965,43, 200
GET,/recommendations,18.51029199315235,902, 200
GET,/hotels,402.01851799793076,43, 200
GET,/recommendations,27.84070601046551,216, 200
GET,/hotels,1354.957942996407,43, 200
GET,/recommendations,32.32668100099545,212, 200
GET,/hotels,2392.384683000273,178, 500
GET,/hotels,253.3865209989017,178, 500
GET,/hotels,863.3686730026966,178, 500
GET,/hotels,2024.0804399945773,178, 500
GET,/hotels,3240.1887040032307,178, 500
GET,/hotels,3286.6167669999413,178, 500
GET,/hotels,4447.521020003478,178, 500
GET,/hotels,10.461434998433106,178, 500
GET,/recommendations,8.936765007092617,902, 200
GET,/hotels,15.23311399796512,178, 500
GET,/recommendations,10.766042993054725,902, 200
GET,/hotels,384.68435101094656,43, 200
GET,/hotels,138.9112380129518,43, 200
GET,/recommendations,16.07242900354322,214, 200
GET,/recommendations,11.102346994448453,204, 200
GET,/recommendations,42.500555005972274,204, 200
GET,/recommendations,15.732653002487496,212, 200
GET,/hotels,1538.854374011862,43, 200
GET,/hotels,1210.1720560021931,43, 200
GET,/hotels,1216.221509006573,43, 200
GET,/recommendations,20.256144998711534,204, 200
GET,/hotels,3502.8712460043607,178, 500
GET,/hotels,3771.3948739983607,178, 500
GET,/hotels,2583.83606300049,178, 500
GET,/hotels,5675.195671006804,178, 500
GET,/hotels,245.21399900550023,178, 500
GET,/hotels,4445.234585989965,178, 500
GET,/hotels,4449.209817990777,178, 500
GET,/hotels,19.094907998805866,178, 500
