request_type,name,response_time,response_length,status_code
GET,/recommendations,80.57110700246994,902, 200
GET,/recommendations,77.34375500149326,204, 200
GET,/recommendations,90.69254600035492,212, 200
GET,/recommendations,329.5133169995097,212, 200
GET,/recommendations,103.21792900140281,212, 200
GET,/hotels,3926.262011002109,178, 500
GET,/hotels,5341.593944001943,178, 500
POST,/user,5445.705645000999,64, 200
GET,/hotels,75.22225300272112,178, 500
GET,/recommendations,261.5685070013569,902, 200
GET,/recommendations,24.15206799923908,902, 200
GET,/recommendations,29.15469000072335,212, 200
GET,/recommendations,26.820859999133972,902, 200
GET,/recommendations,90.97177800140344,204, 200
GET,/hotels,4729.023184998368,43, 200
GET,/hotels,4142.007421000017,43, 200
GET,/hotels,4667.48556499806,43, 200
GET,/hotels,6703.472080000211,43, 200
GET,/hotels,10111.67269300131,43, 200
GET,/hotels,12220.568127999286,43, 200
GET,/hotels,9194.057878998137,43, 200
GET,/hotels,8765.725814999314,43, 200
GET,/hotels,8529.78393399826,43, 200
GET,/recommendations,379.37204300033045,204, 200
GET,/hotels,8600.767487998382,178, 500
GET,/hotels,4686.706841999694,178, 500
GET,/hotels,11730.295313998795,178, 500
GET,/hotels,232.73568299919134,178, 500
GET,/recommendations,25.535955999657745,902, 200
GET,/recommendations,24.082915002509253,212, 200
GET,/recommendations,26.22723799868254,204, 200
POST,/user,19.65499400102999,64, 200
GET,/recommendations,32.3805709995213,902, 200
GET,/recommendations,27.703208001184976,204, 200
GET,/hotels,2047.366050999699,178, 500
GET,/hotels,1976.7977940027777,178, 500
GET,/hotels,2381.5777199997683,178, 500
GET,/hotels,3953.7632950014086,178, 500
GET,/hotels,4730.06646399881,178, 500
GET,/hotels,4366.71863799711,178, 500
GET,/hotels,4143.414799000311,178, 500
GET,/hotels,4208.015461998002,178, 500
GET,/hotels,4393.693186000746,178, 500
GET,/hotels,4539.406662999681,178, 500
GET,/hotels,5524.550398000429,178, 500
GET,/hotels,5484.96863499895,178, 500
GET,/hotels,5214.014927001699,178, 500
GET,/hotels,27.717215001757722,178, 500
GET,/recommendations,24.377810001169564,902, 200
GET,/hotels,33.109570998931304,178, 500
GET,/hotels,28.176859999803128,178, 500
GET,/hotels,28.822686999774305,178, 500
GET,/hotels,30.41866400235449,178, 500
GET,/hotels,28.98497999922256,178, 500
GET,/recommendations,26.690252998378128,204, 200
GET,/hotels,34.39924000122119,178, 500
GET,/hotels,28.021166999678826,178, 500
GET,/recommendations,19.687211002747063,204, 200
GET,/hotels,26.023769998573698,178, 500
GET,/hotels,29.829285998857813,178, 500
GET,/recommendations,26.5366659987194,204, 200
GET,/recommendations,25.154296999971848,212, 200
GET,/hotels,29.18838099867571,178, 500
GET,/hotels,24.89435299867182,178, 500
GET,/hotels,26.054444002511445,178, 500
GET,/recommendations,26.917008999589598,902, 200
GET,/hotels,34.23899200060987,178, 500
GET,/recommendations,34.47112399953767,204, 200
GET,/hotels,24.582179998105858,178, 500
GET,/recommendations,24.024014001042815,902, 200
GET,/recommendations,24.80479999940144,902, 200
GET,/recommendations,36.14465600185213,215, 200
GET,/recommendations,30.09770800053957,213, 200
GET,/hotels,34.0720300009707,178, 500
GET,/recommendations,35.06903599918587,217, 200
GET,/recommendations,37.493890999030555,902, 200
GET,/hotels,45.520335999754025,178, 500
POST,/reservation,330.44417400014936,41, 200
GET,/recommendations,20.744134999404196,204, 200
GET,/recommendations,24.100309998175362,902, 200
GET,/recommendations,24.08435500183259,902, 200
GET,/hotels,33.93451299780281,178, 500
GET,/hotels,23.673529001825955,178, 500
GET,/hotels,27.08893000090029,178, 500
GET,/recommendations,26.452742000401486,215, 200
GET,/hotels,83.81294999708189,178, 500
GET,/hotels,253.70182299957378,178, 500
GET,/hotels,77.7976370009128,178, 500
GET,/hotels,36.98572199937189,178, 500
GET,/recommendations,26.091154999448918,204, 200
GET,/hotels,37.59188099866151,178, 500
GET,/hotels,32.42958400005591,178, 500
GET,/hotels,65.39293999958318,178, 500
GET,/hotels,37.12984899902949,178, 500
GET,/recommendations,27.39003599708667,212, 200
GET,/hotels,29.10204400177463,178, 500
GET,/hotels,29.805214999214513,178, 500
GET,/hotels,84.01921100085019,178, 500
GET,/recommendations,186.36489900018205,902, 200
GET,/hotels,24.998192999191815,178, 500
GET,/hotels,28.52163500210736,178, 500
GET,/hotels,83.23105800081976,178, 500
GET,/recommendations,28.039552002155688,204, 200
GET,/recommendations,35.56880999894929,902, 200
GET,/hotels,28.802411998185562,178, 500
GET,/hotels,30.55449300154578,178, 500
GET,/hotels,35.2416150017234,178, 500
GET,/hotels,41.22164900036296,178, 500
