Method,Name,Error,Occurrences
POST,/reservation,HTTPError('500 Server Error: Internal Server Error for url: /reservation'),7
GET,/hotels,HTTPError('500 Server Error: Internal Server Error for url: /hotels'),124
POST,/user,HTTPError('500 Server Error: Internal Server Error for url: /user'),5
