request_type,name,response_time,response_length,status_code
GET,/recommendations,14143.829648004612,204, 200
GET,/hotels,6130.100203001348,902, 200
GET,/hotels,1127.6345779988333,902, 200
GET,/hotels,9147.151983997901,902, 200
GET,/hotels,3164.2762740011676,43, 200
GET,/hotels,11175.836996997532,43, 200
GET,/hotels,80.26897899981122,43, 200
GET,/recommendations,29.467856002156623,204, 200
GET,/hotels,47.73322599794483,43, 200
GET,/hotels,194.4533860005322,43, 200
GET,/recommendations,24.89203000004636,216, 200
GET,/hotels,171.9041219985229,43, 200
GET,/recommendations,30.31139099766733,902, 200
GET,/recommendations,83.47201099968515,212, 200
GET,/recommendations,25.568286000634544,204, 200
GET,/recommendations,29.51285699964501,215, 200
GET,/recommendations,34.23070000280859,204, 200
GET,/hotels,4423.184728999331,902, 200
GET,/hotels,4610.46956100472,902, 200
GET,/hotels,1002.3388829940814,43, 200
GET,/hotels,424.10541900608223,43, 200
GET,/hotels,397.92241399845807,43, 200
GET,/hotels,584.7144599974854,43, 200
GET,/recommendations,22.143722999317106,212, 200
GET,/recommendations,33.10834100557258,902, 200
GET,/hotels,1118.1556599985925,43, 200
GET,/hotels,1215.0782580065425,43, 200
GET,/hotels,881.0195419937372,43, 200
GET,/hotels,1477.5239060036256,43, 200
GET,/hotels,1598.233759003051,43, 200
GET,/hotels,1281.1218420029036,43, 200
GET,/recommendations,33.85846799938008,902, 200
GET,/recommendations,34.40455300005851,902, 200
GET,/recommendations,95.89294099714607,212, 200
GET,/hotels,8221.852830996795,902, 200
GET,/recommendations,26.646136000636034,204, 200
GET,/hotels,165.96006199688418,43, 200
GET,/recommendations,25.392574003490154,902, 200
GET,/recommendations,37.36318299343111,902, 200
GET,/hotels,4226.746428001206,902, 200
GET,/hotels,3086.0779420036124,49, 500
GET,/hotels,2766.73836500413,178, 500
GET,/hotels,6081.948316998023,178, 500
GET,/hotels,8736.975286003144,178, 500
GET,/hotels,30.61039400199661,43, 200
GET,/recommendations,23.97104499686975,214, 200
GET,/hotels,213.61158299987437,560, 200
GET,/recommendations,30.45682100491831,902, 200
GET,/hotels,562.5864600006025,902, 200
GET,/hotels,97.08124300232157,43, 200
GET,/hotels,71.93405200087,43, 200
GET,/recommendations,37.16457299742615,204, 200
GET,/recommendations,44.89102499792352,902, 200
GET,/hotels,88.13108599861152,43, 200
