,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753269347,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009979138265790886
1,1753269352,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010152961171394955
2,1753269357,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010152961171394955
3,1753269362,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010152961171394955
4,1753269367,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010771614865062423
5,1753269372,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009461325428092208
6,1753269377,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009461325428092208
7,1753269382,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000752472244130316
8,1753269387,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000752472244130316
9,1753269392,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007603009949770022
10,1753269397,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007311744482643897
11,1753269402,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007311744482643897
12,1753269407,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007553956834532371
13,1753269412,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007914849734826163
14,1753269417,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007914849734826163
15,1753269422,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008075332931668505
16,1753269427,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008075332931668505
17,1753269432,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008294666758185185
18,1753269437,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008153752764167717
19,1753269442,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008153752764167717
20,1753269447,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008153752764167717
21,1753269452,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006792075872860616
22,1753269457,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009449747332959017
23,1753269462,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009449747332959019
24,1753269467,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009843868255080593
25,1753269472,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009843868255080593
26,1753269477,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010914950082143305
27,1753269482,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0012243314324401735
28,1753269487,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0012243314324401735
29,1753269492,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010858941132913735
30,1753269497,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010494820423831304
31,1753269502,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010494820423831304
32,1753269507,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010494820423831304
33,1753269512,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009576359371417488
34,1753269517,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000782954330368008
35,1753269522,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000782954330368008
36,1753269527,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000782954330368008
37,1753269532,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007312898089171974
38,1753269537,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006993720565149137
39,1753269542,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007889572050979276
40,1753269547,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007889572050979276
41,1753269552,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006680657459856165
42,1753269557,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007846455290345563
43,1753269562,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007846455290345563
44,1753269567,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007846455290345563
45,1753269572,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0005945500000000007
46,1753269577,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009659559138090205
47,1753269582,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009659559138090205
48,1753269587,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009659559138090205
49,1753269592,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008907633827102432
50,1753269597,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008907633827102432
51,1753269602,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009457309238045755
52,1753269607,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009457309238045755
53,1753269612,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008611084919003523
54,1753269617,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007530997304582206
55,1753269622,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008041926204912771
56,1753269627,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008041926204912771
57,1753269632,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008041926204912771
58,1753269637,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007519111718182029
59,1753269642,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007519111718182029
60,1753269647,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007519111718182029
61,1753269652,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007967934763829869
62,1753269657,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008320763870512484
63,1753269662,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008320763870512484
64,1753269667,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008320763870512484
65,1753269672,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007635648701785674
66,1753269677,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007635648701785674
67,1753269682,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008045049889466437
68,1753269687,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008544495767499951
69,1753269692,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008544495767499951
70,1753269697,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008352332824068635
71,1753269702,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008352332824068635
72,1753269707,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007983023143504585
73,1753269712,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007983023143504585
74,1753269717,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008354953631938219
75,1753269722,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008354953631938219
76,1753269727,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000796859421734796
77,1753269732,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007292788081328599
78,1753269737,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007292788081328599
79,1753269742,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007292788081328599
80,1753269747,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006818906555931718
81,1753269752,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008314007617435455
82,1753269757,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008314007617435455
83,1753269762,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008142896450518208
84,1753269767,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008643715473546336
85,1753269772,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008643715473546336
86,1753269777,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008346040582516446
87,1753269782,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008346040582516446
88,1753269787,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000769398163889834
89,1753269792,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000769398163889834
90,1753269797,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000769398163889834
91,1753269802,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000769398163889834
92,1753269807,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009159885169280405
93,1753269812,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009159885169280405
94,1753269817,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009159885169280405
95,1753269822,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008009345114485887
96,1753269827,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000895945604580666
97,1753269832,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000895945604580666
98,1753269837,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009362117067092821
99,1753269842,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009362117067092822
100,1753269847,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007991754702396301
101,1753269852,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007991754702396301
102,1753269857,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007991754702396301
103,1753269862,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000808886226700962
104,1753269867,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008373616261130813
105,1753269872,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008373616261130814
106,1753269877,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008373616261130813
107,1753269882,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007950816683680923
108,1753269887,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007689411895931519
109,1753269892,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007689411895931519
110,1753269897,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008047848699763585
111,1753269902,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008047848699763585
112,1753269907,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007778410958904108
113,1753269912,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007778410958904108
114,1753269917,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007778410958904108
115,1753269922,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0005702999999999987
116,1753269927,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006259527420984253
117,1753269932,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0005573642011834306
118,1753269937,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0004887756602684358
119,1753269942,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0002611333333333336
120,1753269947,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0002934516943873422
