,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753270202,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009874460653379897
1,1753270207,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007965470329100778
2,1753270212,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006699358820290208
3,1753270217,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008006745017884519
4,1753270222,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008006745017884519
5,1753270227,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008232064319130465
6,1753270232,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008345247750721458
7,1753270237,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008345247750721458
8,1753270242,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008062966103537496
9,1753270247,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008062966103537496
10,1753270252,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008062966103537496
11,1753270257,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0005625499999999978
12,1753270262,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007585456407630258
13,1753270267,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007585456407630258
14,1753270272,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007585456407630258
15,1753270277,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007105415774446841
16,1753270282,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007105415774446841
17,1753270287,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007105415774446841
18,1753270292,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007076756693557843
19,1753270297,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000847335332237161
20,1753270302,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009385394732826749
21,1753270307,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009385394732826749
22,1753270312,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008297084302146134
23,1753270317,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008297084302146134
24,1753270322,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000875333953711763
25,1753270327,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007234817488668078
26,1753270332,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008842290210457947
27,1753270337,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007657329625275942
28,1753270342,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007657329625275942
29,1753270347,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008202369603704208
30,1753270352,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008202369603704208
31,1753270357,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009162801158246882
32,1753270362,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000891759060389698
33,1753270367,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000891759060389698
34,1753270372,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008870740377543533
35,1753270377,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008918493240582772
36,1753270382,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008918493240582772
37,1753270387,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008918493240582772
38,1753270392,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007901240055113555
39,1753270397,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007901240055113555
40,1753270402,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007901240055113555
41,1753270407,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008693669647226308
42,1753270412,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008693669647226308
43,1753270417,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008693669647226308
44,1753270422,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008552515999498058
45,1753270427,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008198110069845227
46,1753270432,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008198110069845229
47,1753270437,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008889297297297288
48,1753270442,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008889297297297288
49,1753270447,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008889297297297288
50,1753270452,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008036091798705407
51,1753270457,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008036091798705406
52,1753270462,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008459880113576623
53,1753270467,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007285890206638434
54,1753270472,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008891768252373311
55,1753270477,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007596361114783804
56,1753270482,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007850547643078781
57,1753270487,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007649380859512704
58,1753270492,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007649380859512704
59,1753270497,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008241991187328774
60,1753270502,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008241991187328774
61,1753270507,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008241991187328774
62,1753270512,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007589554057347048
63,1753270517,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007589554057347048
64,1753270522,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009343020594965675
65,1753270527,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009343020594965675
66,1753270532,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009343020594965675
67,1753270537,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000866650528245117
68,1753270542,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008263394529786434
69,1753270547,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008263394529786434
70,1753270552,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008387951299954408
71,1753270557,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007593548757302388
72,1753270562,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008723426319610112
73,1753270567,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008563186230052314
