index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods
1759510379,0.0,0.0,0.0
1759510384,0.0,0.0,0.0
1759510389,0.0,0.0,0.0
1759510394,0.0,0.0,0.0
1759510399,0.0,0.0,0.0
1759510404,0.0,0.0,0.0
1759510409,0.0,0.0,0.0
1759510414,0.0,0.0,0.0
1759510419,0.0,0.0,0.0
1759510419,0.0,0.0,0.0
1759510424,0.0,0.0,0.0
1759510429,0.0,0.0,0.0
1759510434,0.0,0.0,0.0
1759510439,0.0,0.0,0.0
1759510444,0.0,0.0,0.0
1759510449,0.0,0.0,0.0
1759510454,0.0,0.0,0.0
1759510459,0.0,0.0,0.0
1759510464,0.0,0.0,0.0
1759510469,0.0,0.0,0.0
1759510474,0.0,0.0,0.0
1759510479,0.0,0.0,0.0
1759510479,0.0,0.0,0.0
1759510484,0.0,0.0,0.0
1759510489,0.0,0.0,0.0
1759510494,0.0,0.0,0.0
1759510499,0.0,0.0,0.0
1759510504,0.0,0.0,0.0
1759510509,0.0,0.0,0.0
1759510514,0.0,0.0,0.0
1759510519,0.0,0.0,0.0
1759510524,0.0,0.0,0.0
1759510529,0.0,0.0,0.0
1759510534,0.0,0.0,0.0
1759510539,0.0,0.0,0.0
1759510539,0.0,0.0,0.0
1759510544,0.0,0.0,0.0
1759510549,0.0,0.0,0.0
1759510554,0.0,0.0,0.0
1759510559,0.0,0.0,0.0
1759510564,0.0,0.0,0.0
1759510569,0.0,0.0,0.0
1759510574,0.0,0.0,0.0
1759510579,0.0,0.0,0.0
1759510584,0.0,0.0,0.0
1759510589,0.0,0.0,0.0
1759510594,0.0,0.0,0.0
1759510599,0.0,0.0,0.0
1759510599,0.0,0.0,0.0
1759510604,0.0,0.0,0.0
1759510609,0.0,0.0,0.0
1759510614,0.0,0.0,0.0
1759510619,0.0,0.0,0.0
1759510624,0.0,0.0,0.0
1759510629,0.0,0.0,0.0
1759510634,0.0,0.0,0.0
1759510639,0.0,0.0,0.0
1759510644,0.0,0.0,0.0
1759510649,0.0,0.0,0.0
1759510654,0.0,0.0,0.0
1759510659,0.0,0.0,0.0
1759510659,0.0,0.0,0.0
1759510664,0.0,0.0,0.0
1759510669,0.0,0.0,0.0
1759510674,0.0,0.0,0.0
1759510679,0.0,0.0,0.0
1759510684,0.0,0.0,0.0
1759510689,0.0,0.0,0.0
1759510694,0.0,0.0,0.0
1759510699,0.0,0.0,0.0
1759510704,0.0,0.0,0.0
1759510709,0.0,0.0,0.0
1759510714,0.0,0.0,0.0
1759510719,0.0,0.0,0.0
1759510719,0.0,0.0,0.0
1759510724,0.0,0.0,0.0
1759510729,0.0,0.0,0.0
1759510734,0.0,0.0,0.0
1759510739,0.0,0.0,0.0
1759510744,0.0,0.0,0.0
1759510749,0.0,0.0,0.0
1759510754,0.0,0.0,0.0
1759510759,0.0,0.0,0.0
1759510764,0.0,0.0,0.0
1759510769,0.0,0.0,0.0
1759510774,0.0,0.0,0.0
1759510779,0.0,0.0,0.0
1759510779,0.0,0.0,0.0
1759510784,0.0,0.0,0.0
1759510789,0.0,0.0,0.0
1759510794,0.0,0.0,0.0
1759510799,0.0,0.0,0.0
1759510804,0.0,0.0,0.0
1759510809,0.0,0.0,0.0
1759510814,0.0,0.0,0.0
1759510819,0.0,0.0,0.0
1759510824,0.0,0.0,0.0
1759510829,0.0,0.0,0.0
1759510834,0.0,0.0,0.0
1759510839,0.0,0.0,0.0
1759510839,0.0,0.0,0.0
1759510844,0.0,0.0,0.0
1759510849,0.0,0.0,0.0
1759510854,0.0,0.0,0.0
1759510859,0.0,0.0,0.0
1759510864,0.0,0.0,0.0
1759510869,0.0,0.0,0.0
1759510874,0.0,0.0,0.0
1759510879,0.0,0.0,0.0
1759510884,0.0,0.0,0.0
1759510889,0.0,0.0,0.0
1759510894,0.0,0.0,0.0
1759510899,0.0,0.0,0.0
1759510899,0.0,0.0,0.0
1759510904,0.0,0.0,0.0
1759510909,0.0,0.0,0.0
1759510914,0.0,0.0,0.0
1759510919,0.0,0.0,0.0
1759510924,0.0,0.0,0.0
1759510929,0.0,0.0,0.0
1759510934,0.0,0.0,0.0
1759510939,0.0,0.0,0.0
1759510944,0.0,0.0,0.0
1759510949,0.0,0.0,0.0
1759510954,0.0,0.0,0.0
1759510959,0.0,0.0,0.0
1759510959,0.0,0.0,0.0
1759510964,0.0,0.0,0.0
1759510969,0.0,0.0,0.0
1759510974,0.0,0.0,0.0
1759510979,0.0,0.0,0.0
1759510984,0.0,0.0,0.0
1759510989,0.0,0.0,0.0
1759510994,0.0,0.0,0.0
1759510999,0.0,0.0,0.0
1759511004,0.0,0.0,0.0
1759511009,0.0,0.0,0.0
1759511014,0.0,0.0,0.0
1759511019,0.0,0.0,0.0
1759511019,0.0,0.0,0.0
1759511024,0.0,0.0,0.0
1759511029,0.0,0.0,0.0
1759511034,0.0,0.0,0.0
1759511039,0.0,0.0,0.0
1759511044,0.0,0.0,0.0
1759511049,0.0,0.0,0.0
1759511054,0.0,0.0,0.0
1759511059,0.0,0.0,0.0
1759511064,0.0,0.0,0.0
1759511069,0.0,0.0,0.0
1759511074,0.0,0.0,0.0
1759511079,0.0,0.0,0.0
1759511079,0.0,0.0,0.0
1759511084,0.0,0.0,0.0
1759511089,0.0,0.0,0.0
1759511094,0.0,0.0,0.0
1759511609,0.0,0.0,0.0
1759511614,0.0,0.0,0.0
1759511619,0.0,0.0,0.0
1759511619,0.0,0.0,0.0
1759511624,0.0,0.0,0.0
1759511629,0.0,0.0,0.0
1759511634,0.0,0.0,0.0
1759511639,0.0,0.0,0.0
1759511644,0.0,0.0,0.0
1759511649,0.0,0.0,0.0
1759511654,0.0,0.0,0.0
1759511659,0.0,0.0,0.0
1759511664,0.0,0.0,0.0
1759511669,0.0,0.0,0.0
1759511674,0.0,0.0,0.0
1759511679,0.0,0.0,0.0
1759511679,0.0,0.0,0.0
1759511684,0.0,0.0,0.0
1759511689,0.0,0.0,0.0
1759511694,0.0,0.0,0.0
1759511699,0.0,0.0,0.0
1759511704,0.0,0.0,0.0
1759511709,0.0,0.0,0.0
1759511714,0.0,0.0,0.0
1759511719,0.0,0.0,0.0
1759511724,0.0,0.0,0.0
1759511729,0.0,0.0,0.0
1759511734,0.0,0.0,0.0
1759511739,0.0,0.0,0.0
1759511739,0.0,0.0,0.0
1759511744,0.0,0.0,0.0
1759511749,0.0,0.0,0.0
1759511754,0.0,0.0,0.0
1759511759,0.0,0.0,0.0
1759511764,0.0,0.0,0.0
1759511769,0.0,0.0,0.0
1759511774,0.0,0.0,0.0
1759511779,0.0,0.0,0.0
1759511784,0.0,0.0,0.0
1759511789,0.0,0.0,0.0
1759511794,0.0,0.0,0.0
1759511799,0.0,0.0,0.0
1759511799,0.0,0.0,0.0
1759511804,0.0,0.0,0.0
1759511809,0.0,0.0,0.0
1759511814,0.0,0.0,0.0
1759511819,0.0,0.0,0.0
1759511824,0.0,0.0,0.0
1759511829,0.0,0.0,0.0
1759511834,0.0,0.0,0.0
1759511839,0.0,0.0,0.0
1759511844,0.0,0.0,0.0
1759511849,0.0,0.0,0.0
1759511854,0.0,0.0,0.0
1759511859,0.0,0.0,0.0
1759511859,0.0,0.0,0.0
1759511864,0.0,0.0,0.0
1759511869,0.0,0.0,0.0
1759511874,0.0,0.0,0.0
1759511879,0.0,0.0,0.0
1759511884,0.0,0.0,0.0
1759511889,0.0,0.0,0.0
1759511894,0.0,0.0,0.0
1759511899,0.0,0.0,0.0
1759511904,0.0,0.0,0.0
1759511909,0.0,0.0,0.0
1759511914,0.0,0.0,0.0
1759511919,0.0,0.0,0.0
1759511919,0.0,0.0,0.0
1759511924,0.0,0.0,0.0
1759511929,0.0,0.0,0.0
1759511934,0.0,0.0,0.0
1759511939,0.0,0.0,0.0
1759511944,0.0,0.0,0.0
1759511949,0.0,0.0,0.0
1759511954,0.0,0.0,0.0
1759511959,0.0,0.0,0.0
1759511964,0.0,0.0,0.0
1759511969,0.0,0.0,0.0
1759511974,0.0,0.0,0.0
1759511979,0.0,0.0,0.0
1759511979,0.0,0.0,0.0
1759511984,0.0,0.0,0.0
1759511989,0.0,0.0,0.0
1759511994,0.0,0.0,0.0
1759511999,0.0,0.0,0.0
1759512004,0.0,0.0,0.0
1759512009,0.0,0.0,0.0
1759512014,0.0,0.0,0.0
1759512019,0.0,0.0,0.0
1759512024,0.0,0.0,0.0
1759512029,0.0,0.0,0.0
1759512034,0.0,0.0,0.0
1759512039,0.0,0.0,0.0
1759512039,0.0,0.0,0.0
1759512044,0.0,0.0,0.0
1759512049,0.0,0.0,0.0
1759512054,0.0,0.0,0.0
1759512059,0.0,0.0,0.0
1759512064,0.0,0.0,0.0
1759512069,0.0,0.0,0.0
1759512074,0.0,0.0,0.0
