,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity
0,1752881898,135.0,0.0,0.0,562.3157819514104,135.0,380.425202,570.514921,4.25,-782.0
1,1752881903,135.0,0.0,0.0,562.3157819514104,135.0,380.425202,570.514921,4.25,-782.0
2,1752881908,135.0,0.0,0.0,562.3157819514104,135.0,380.425202,570.514921,4.25,-782.0
3,1752881913,135.0,0.0,0.0,329.4134727782267,135.0,380.425202,570.514921,4.25,-782.0
4,1752881918,135.0,0.0,0.0,329.4134727782267,135.0,380.425202,570.514921,4.25,-782.0
5,1752881923,135.0,0.0,0.0,329.4134727782267,135.0,380.425202,570.514921,4.25,-782.0
6,1752881928,135.0,0.0,0.0,329.4134727782267,135.0,397.640691,270.457262,4.25,-482.0
7,1752881933,135.0,0.0,0.0,329.4134727782267,135.0,397.640691,270.457262,4.25,-482.0
8,1752881938,135.0,0.0,0.0,329.4134727782267,135.0,397.640691,270.457262,4.25,-482.0
9,1752881943,135.0,0.0,0.0,297.6672182120486,135.0,397.640691,270.457262,4.25,-482.0
10,1752881948,135.0,0.0,0.0,297.6672182120486,135.0,397.640691,270.457262,4.25,-482.0
11,1752881953,135.0,0.0,0.0,297.6672182120486,135.0,397.640691,270.457262,4.25,-482.0
12,1752881958,135.0,0.0,0.0,297.6672182120486,135.0,331.637767,310.108027,4.25,-522.0
13,1752881963,135.0,0.0,0.0,297.6672182120486,135.0,331.637767,310.108027,4.25,-522.0
14,1752881968,135.0,0.0,0.0,297.6672182120486,135.0,331.637767,310.108027,4.25,-522.0
15,1752881973,135.0,0.0,0.0,336.1714379081771,135.0,331.637767,310.108027,4.25,-522.0
16,1752881978,135.0,0.0,0.0,336.1714379081771,135.0,331.637767,310.108027,4.25,-522.0
17,1752881983,135.0,0.0,0.0,336.1714379081771,135.0,331.637767,310.108027,4.25,-522.0
18,1752881988,135.0,0.0,0.0,336.1714379081771,135.0,314.361509,348.865147,4.25,-560.0
19,1752881993,135.0,0.0,0.0,336.1714379081771,135.0,314.361509,348.865147,4.25,-560.0
20,1752881998,135.0,0.0,0.0,336.1714379081771,135.0,314.361509,348.865147,4.25,-560.0
21,1752882003,135.0,0.0,0.0,488.08070562419977,135.0,314.361509,348.865147,4.25,-560.0
22,1752882008,135.0,0.0,0.0,488.08070562419977,135.0,314.361509,348.865147,4.25,-560.0
23,1752882013,135.0,0.0,0.0,488.08070562419977,135.0,314.361509,348.865147,4.25,-560.0
24,1752882018,135.0,0.0,0.0,488.08070562419977,135.0,393.958097,457.074299,4.25,-669.0
25,1752882023,135.0,0.0,0.0,488.08070562419977,135.0,393.958097,457.074299,4.25,-669.0
26,1752882028,135.0,0.0,0.0,488.08070562419977,135.0,393.958097,457.074299,4.25,-669.0
27,1752882033,135.0,0.0,0.0,475.48573144650794,135.0,393.958097,457.074299,4.25,-669.0
28,1752882038,135.0,0.0,0.0,475.48573144650794,135.0,393.958097,457.074299,4.25,-669.0
29,1752882043,135.0,0.0,0.0,475.48573144650794,135.0,393.958097,457.074299,4.25,-669.0
30,1752882048,135.0,0.0,0.0,475.48573144650794,135.0,462.241605,488.233209,4.25,-700.0
31,1752882053,135.0,0.0,0.0,475.48573144650794,135.0,462.241605,488.233209,4.25,-700.0
32,1752882058,135.0,0.0,0.0,475.48573144650794,135.0,462.241605,488.233209,4.25,-700.0
33,1752882063,135.0,0.0,0.0,535.6222873389498,135.0,462.241605,488.233209,4.25,-700.0
34,1752882068,135.0,0.0,0.0,535.6222873389498,135.0,462.241605,488.233209,4.25,-700.0
35,1752882073,135.0,0.0,0.0,535.6222873389498,135.0,462.241605,488.233209,4.25,-700.0
36,1752882078,135.0,0.0,0.0,535.6222873389498,135.0,501.603656,548.751568,4.25,-760.0
37,1752882083,135.0,0.0,0.0,535.6222873389498,135.0,501.603656,548.751568,4.25,-760.0
38,1752882088,135.0,0.0,0.0,535.6222873389498,135.0,501.603656,548.751568,4.25,-760.0
39,1752882093,135.0,0.0,0.0,579.1724863945938,135.0,501.603656,548.751568,4.25,-760.0
40,1752882098,135.0,0.0,0.0,579.1724863945938,135.0,501.603656,548.751568,4.25,-760.0
41,1752882103,135.0,0.0,0.0,579.1724863945938,135.0,501.603656,548.751568,4.25,-760.0
42,1752882108,137.0,0.0,0.0,579.1724863945938,137.0,552.576953,573.486427,4.25,-785.0
43,1752882113,137.0,0.0,0.0,579.1724863945938,137.0,552.576953,573.486427,4.25,-785.0
44,1752882118,137.0,0.0,0.0,579.1724863945938,137.0,552.576953,573.486427,4.25,-785.0
