,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752175639,5.0,0.0,5.0,5.0,2.250068,2.702407,210.0,1286.0,0.07929284516898831
1,1752175644,5.0,0.0,5.0,5.0,2.250068,2.702407,210.0,1286.0,0.09593282804173454
2,1752175649,5.0,0.0,5.0,5.0,2.250068,2.702407,210.0,1286.0,0.14181507947052718
3,1752175654,5.0,0.0,5.0,5.0,2.250068,2.702407,210.0,1286.0,0.21769351336232534
4,1752175659,5.0,0.0,5.0,5.0,2.250068,2.702407,210.0,1286.0,0.263262661242281
5,1752175664,5.0,0.0,5.0,5.0,2.250068,2.702407,210.0,1286.0,0.29299261985359
6,1752175669,5.0,0.0,5.0,5.0,4.048811,4.068403,210.0,1284.0,0.38667625997898303
7,1752175674,5.0,0.0,5.0,5.0,4.048811,4.068403,210.0,1284.0,0.43247733060102117
8,1752175679,5.0,0.0,5.0,5.0,4.048811,4.068403,210.0,1284.0,0.47901747165473596
9,1752175684,5.0,0.0,5.0,5.0,4.048811,4.068403,210.0,1284.0,0.5615828230561042
10,1752175689,5.0,0.0,5.0,5.0,4.048811,4.068403,210.0,1284.0,0.5810412039515455
11,1752175694,5.0,0.0,5.0,5.0,4.048811,4.068403,210.0,1284.0,0.6393623487804908
12,1752175699,5.0,0.0,5.0,5.0,4.222453,4.730754,210.0,1284.0,0.6535073066627013
13,1752175704,5.0,0.0,5.0,5.0,4.222453,4.730754,210.0,1284.0,0.6860266018805148
14,1752175709,5.0,0.0,5.0,5.0,4.222453,4.730754,210.0,1284.0,0.6841850356269079
15,1752175714,5.0,0.0,5.0,5.0,4.222453,4.730754,210.0,1284.0,0.7389411960284364
16,1752175719,5.0,0.0,5.0,5.0,4.222453,4.730754,210.0,1284.0,0.7425278597603469
17,1752175724,5.0,0.0,5.0,5.0,4.222453,4.730754,210.0,1284.0,0.727347881631082
18,1752175729,5.0,0.0,5.0,5.0,6.68148,9.599532,210.0,1279.0,0.7052653943257806
19,1752175734,5.0,0.0,5.0,5.0,6.68148,9.599532,210.0,1279.0,0.7844567683010014
20,1752175739,5.0,0.0,5.0,5.0,6.68148,9.599532,210.0,1279.0,0.8002810124714141
21,1752175744,5.0,0.0,5.0,5.0,6.68148,9.599532,210.0,1279.0,0.7921570447709803
22,1752175749,5.0,0.0,5.0,5.0,6.68148,9.599532,210.0,1279.0,0.7780424220788688
23,1752175754,5.0,0.0,5.0,5.0,6.68148,9.599532,210.0,1279.0,0.834367991302327
24,1752175759,5.0,0.0,5.0,5.0,9.958028,13.896445,210.0,1275.0,0.8274818848382145
25,1752175764,5.0,0.0,5.0,5.0,9.958028,13.896445,210.0,1275.0,0.8350230892373883
26,1752175769,5.0,0.0,5.0,5.0,9.958028,13.896445,210.0,1275.0,0.8473819285222659
27,1752175774,5.0,0.0,5.0,5.0,9.958028,13.896445,210.0,1275.0,0.8170107126221895
28,1752175779,5.0,0.0,5.0,5.0,9.958028,13.896445,210.0,1275.0,0.8995727591126841
29,1752175784,5.0,0.0,5.0,5.0,9.958028,13.896445,210.0,1275.0,0.9172537579335496
30,1752175789,5.0,0.0,5.0,5.0,13.458655,11.876139,210.0,1277.0,0.8745314921514175
31,1752175794,5.0,0.0,5.0,5.0,13.458655,11.876139,210.0,1277.0,0.8686874389042217
32,1752175799,5.0,0.0,5.0,5.0,13.458655,11.876139,210.0,1277.0,0.9414220269129685
33,1752175804,5.0,0.0,5.0,5.0,13.458655,11.876139,210.0,1277.0,0.9723745033228101
34,1752175809,5.0,0.0,5.0,5.0,13.458655,11.876139,210.0,1277.0,0.9388272223473508
35,1752175814,5.0,0.0,5.0,5.0,13.458655,11.876139,210.0,1277.0,0.9611969417070135
36,1752175819,5.0,0.0,5.0,5.0,18.615154,30.972247,210.0,1258.0,1.0030840166379147
37,1752175824,5.0,0.0,5.0,5.0,18.615154,30.972247,210.0,1258.0,1.0209891632610555
38,1752175829,5.0,0.0,5.0,5.0,18.615154,30.972247,210.0,1258.0,1.0254682404476612
39,1752175834,5.0,0.0,5.0,5.0,18.615154,30.972247,210.0,1258.0,1.0287938888199135
40,1752175839,5.0,0.0,5.0,5.0,18.615154,30.972247,210.0,1258.0,0.9691193554297332
41,1752175844,5.0,0.0,5.0,5.0,18.615154,30.972247,210.0,1258.0,1.074453030726736
42,1752175849,5.0,0.0,5.0,5.0,22.588691,34.867135,210.0,1254.0,1.0819688557162608
43,1752175854,5.0,0.0,5.0,5.0,22.588691,34.867135,210.0,1254.0,1.0879513446738183
44,1752175859,5.0,0.0,5.0,5.0,22.588691,34.867135,210.0,1254.0,1.0646783605609262
45,1752175864,5.0,0.0,5.0,5.0,22.588691,34.867135,210.0,1254.0,1.1184626345558
46,1752175869,5.0,0.0,5.0,5.0,22.588691,34.867135,210.0,1254.0,1.1273493887358852
47,1752175874,5.0,0.0,5.0,5.0,22.588691,34.867135,210.0,1254.0,1.0892280181887775
48,1752175879,5.0,0.0,5.0,5.0,28.076901,18.907406,210.0,1270.0,1.084677318528738
49,1752175884,5.0,0.0,5.0,5.0,28.076901,18.907406,210.0,1270.0,1.096115809800009
50,1752175889,5.0,0.0,5.0,5.0,28.076901,18.907406,210.0,1270.0,1.0923832322214317
51,1752175894,5.0,0.0,5.0,5.0,28.076901,18.907406,210.0,1270.0,1.1165670835981831
52,1752175899,5.0,0.0,5.0,5.0,28.076901,18.907406,210.0,1270.0,1.1141578788296433
53,1752175904,5.0,0.0,5.0,5.0,28.076901,18.907406,210.0,1270.0,1.0352780678095619
54,1752175909,5.0,0.0,5.0,5.0,28.216664,22.036983,210.0,1266.0,0.9856444006675027
55,1752175914,5.0,0.0,5.0,5.0,28.216664,22.036983,210.0,1266.0,1.0472975748936373
56,1752175919,5.0,0.0,5.0,5.0,28.216664,22.036983,210.0,1266.0,1.064523529623885
57,1752175924,5.0,0.0,5.0,5.0,28.216664,22.036983,210.0,1266.0,1.063808918071092
58,1752175929,5.0,0.0,5.0,5.0,28.216664,22.036983,210.0,1266.0,1.0584660178901997
59,1752175934,5.0,0.0,5.0,5.0,28.216664,22.036983,210.0,1266.0,0.895513399771058
60,1752175939,5.0,0.0,5.0,5.0,28.216664,22.036983,210.0,1266.0,0.7716866137891727
