index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
1759423997,0.0,0.0,0.0,,,,,,,
1759424002,0.0,0.0,0.0,,,,,,,
1759424007,0.0,0.0,0.0,,,,,,,
1759424012,0.0,0.0,0.0,,,,,,,
1759424017,0.0,0.0,0.0,10.079522353134154,,,,,,
1759424022,0.0,0.0,0.0,10.079522353134154,,,,,,
1759424027,0.0,0.0,0.0,10.079522353134154,,,,,,0.051809929548008664
1759424032,0.0,0.0,0.0,10.079522353134154,,,,,,0.1856096505220487
1759424037,3.0,0.0,3.0,10.079522353134154,3.0,2.825257,2.089454,7.0,-184.0,0.20388704240371625
1759424042,3.0,0.0,3.0,10.079522353134154,3.0,2.825257,2.089454,7.0,-184.0,0.24084092192689657
1759424047,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.2435644416605114
1759424052,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.2408061376123097
1759424057,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.24865983961313903
1759424057,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.24957384875974742
1759424062,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.27680329367294976
1759424067,0.0,2.0,1.0,0.0,0.0,-1e-06,0.0,7.0,-201.0,0.23704786445607162
1759424072,0.0,2.0,1.0,0.0,0.0,-1e-06,0.0,7.0,-201.0,0.13814945115297625
1759424077,0.0,2.0,1.0,,0.0,-1e-06,0.0,7.0,-201.0,0.07878444892216846
1759424082,0.0,2.0,1.0,,0.0,-1e-06,0.0,7.0,-201.0,0.07878444892216846
1759424087,0.0,2.0,1.0,,0.0,-1e-06,0.0,7.0,-201.0,0.05511326445795953
