index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
1759501225,3.0,0.0,3.0,195.34647915442412,6.0,171.799051,0.0,7.0,-181.0,0.32217791904646176
1759501230,3.0,0.0,3.0,195.34647915442412,6.0,56.079235,0.0,7.0,-181.0,0.3514892494172484
1759501235,3.0,0.0,3.0,300.40722553053905,6.0,56.079235,0.0,7.0,-181.0,0.3352631387144732
1759501240,3.0,0.0,3.0,300.40722553053905,6.0,56.079235,0.0,7.0,-181.0,0.32573511676729094
1759501245,3.0,0.0,3.0,300.40722553053905,6.0,56.079235,0.0,7.0,-181.0,0.32370102829539593
1759501250,3.0,0.0,3.0,300.40722553053905,6.0,56.079235,0.0,7.0,-181.0,0.3380980638429554
1759501255,3.0,0.0,3.0,300.40722553053905,6.0,56.079235,0.0,7.0,-181.0,0.3171104138865314
1759501260,3.0,0.0,3.0,300.40722553053905,3.0,3.497697,0.0,7.0,-181.0,0.26010421424180297
1759501265,3.0,0.0,3.0,3.5695458743866384,3.0,3.497697,0.0,7.0,-181.0,0.23139876923752561
1759501270,3.0,0.0,3.0,3.5695458743866384,3.0,3.497697,0.0,7.0,-181.0,0.28876378868770186
1759501275,3.0,0.0,3.0,3.5695458743866384,3.0,3.497697,0.0,7.0,-181.0,0.274253552817474
1759501280,3.0,0.0,3.0,3.5695458743866384,3.0,3.497697,0.0,7.0,-181.0,0.27564222616454837
1759501285,3.0,0.0,3.0,3.5695458743866384,3.0,3.497697,0.0,7.0,-181.0,0.2328188120473552
1759501285,3.0,0.0,3.0,3.5695458743866384,3.0,3.497697,0.0,7.0,-181.0,0.27848396148369553
1759501290,3.0,0.0,3.0,3.5695458743866384,15.0,289.128258,0.0,7.0,-181.0,0.26751727468499126
1759501295,3.0,0.0,3.0,252.46601143846507,15.0,289.128258,0.0,7.0,-181.0,0.25665344203077445
1759501300,3.0,0.0,3.0,252.46601143846507,15.0,289.128258,0.0,7.0,-181.0,0.28674732709163714
1759501305,3.0,0.0,3.0,252.46601143846507,15.0,289.128258,0.0,7.0,-181.0,0.3136596583327293
1759501310,3.0,0.0,3.0,252.46601143846507,15.0,289.128258,0.0,7.0,-181.0,0.344078870024487
1759501315,3.0,0.0,3.0,252.46601143846507,15.0,289.128258,0.0,7.0,-181.0,0.35859555182197905
1759501320,3.0,0.0,3.0,252.46601143846507,3.0,6.294355,0.0,7.0,-181.0,0.3309795668603589
1759501325,3.0,0.0,3.0,79.88649629374372,3.0,6.294355,0.0,7.0,-181.0,0.3487199488784646
1759501330,3.0,0.0,3.0,79.88649629374372,3.0,6.294355,0.0,7.0,-181.0,0.3454632791038508
1759501335,3.0,0.0,3.0,79.88649629374372,3.0,6.294355,0.0,7.0,-181.0,0.3573023566394091
1759501340,3.0,0.0,3.0,79.88649629374372,3.0,6.294355,0.0,7.0,-181.0,0.3381214598940038
1759501345,3.0,0.0,3.0,79.88649629374372,3.0,6.294355,0.0,7.0,-181.0,0.3141443773449069
1759501345,3.0,0.0,3.0,79.88649629374372,3.0,6.294355,0.0,7.0,-181.0,0.34854029532026093
1759501350,3.0,0.0,3.0,79.88649629374372,4.0,23.97495,0.0,7.0,-181.0,0.37381155150710077
1759501355,3.0,0.0,3.0,7.548744571928007,4.0,23.97495,0.0,7.0,-181.0,0.38256852834761634
1759501360,3.0,0.0,3.0,7.548744571928007,4.0,23.97495,0.0,7.0,-181.0,0.38711583093788093
1759501365,3.0,0.0,3.0,7.548744571928007,4.0,23.97495,0.0,7.0,-181.0,0.4154096746489539
1759501370,3.0,0.0,3.0,7.548744571928007,4.0,23.97495,0.0,7.0,-181.0,0.42400611135568433
