Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/hotels,69497,1,71,89.5228160435396,11.46456878632307,300021.07312716544,43.00200008633466,114.8044422119547,0.0016519337843641409,71,93,110,120,140,160,200,240,3000,7000,300000
GET,/recommendations,44053,0,15,29.65102218975349,4.799084737896919,6828.995442949235,441.41002882891064,72.7726390025935,0.0,15,22,28,33,45,59,110,160,2800,6800,6800
POST,/reservation,1130,0,22,31.884112157982536,8.56989249587059,2333.7811958044767,57.547787610619466,1.8666851763314791,0.0,22,29,34,36,45,57,76,120,1900,2300,2300
POST,/user,1147,0,12,17.581472392563416,5.105912685394287,2268.6442118138075,64.0,1.8947680506656694,0.0,12,14,17,18,23,32,46,77,1300,2300,2300
,Aggregated,115827,1,40,65.47677676773009,4.799084737896919,300021.07312716544,194.88014884267054,191.33853444154533,0.0016519337843641409,40,66,85,96,130,150,190,230,2800,7000,300000
