Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/hotels,33655,10835,1100.0,2761.9979669876657,20.82094599973061,122933.69010899914,296.131065220621,67.41241051296073,21.702970373137113,1100,2500,3600,4400,7100,9700,13000,17000,47000,79000,123000
GET,/recommendations,21208,0,450.0,1144.556240813637,18.457007998222252,130652.06368000145,440.7528291210864,42.48053490295265,0.0,450,620,730,920,2400,5000,9400,14000,45000,121000,131000
POST,/reservation,579,0,750.0,1662.7839919879416,21.111130001372658,24493.65735000174,41.278065630397236,1.1597618685783468,0.0,750,1000,1300,1700,4000,7700,13000,17000,24000,24000,24000
POST,/user,590,0,390.0,1298.477391360944,15.588721998938126,43785.95594900253,64.0,1.1817953410383846,0.0,400,600,700,1000,2900,6500,12000,16000,44000,44000,44000
,Aggregated,56032,10835,690.0,2123.030481268021,15.588721998938126,130652.06368000145,345.7923507995431,112.23450262553011,21.702970373137113,690,1400,2400,3200,6000,8600,12000,16000,45000,80000,131000
