,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity
0,1752257751,5.0,0.0,0.0,0.0,5.0,75.699756,134.483943,70.0,-346.0
1,1752257756,5.0,0.0,0.0,232.06408194420754,5.0,75.699756,134.483943,70.0,-346.0
2,1752257761,5.0,0.0,0.0,232.06408194420754,5.0,75.699756,134.483943,70.0,-346.0
3,1752257766,5.0,0.0,0.0,232.06408194420754,5.0,75.699756,134.483943,70.0,-346.0
4,1752257771,5.0,0.0,0.0,232.06408194420754,5.0,75.699756,134.483943,70.0,-346.0
5,1752257776,5.0,0.0,0.0,232.06408194420754,5.0,182.839772,278.382089,70.0,-490.0
6,1752257781,5.0,0.0,0.0,232.06408194420754,5.0,182.839772,278.382089,70.0,-490.0
7,1752257786,5.0,0.0,0.0,316.6358362008021,5.0,182.839772,278.382089,70.0,-490.0
8,1752257791,5.0,0.0,0.0,316.6358362008021,5.0,182.839772,278.382089,70.0,-490.0
9,1752257796,5.0,0.0,0.0,316.6358362008021,5.0,182.839772,278.382089,70.0,-490.0
10,1752257801,5.0,0.0,0.0,316.6358362008021,5.0,182.839772,278.382089,70.0,-490.0
11,1752257806,7.0,0.0,0.0,316.6358362008021,7.0,314.555112,462.260856,70.0,-674.0
12,1752257811,7.0,0.0,0.0,316.6358362008021,7.0,314.555112,462.260856,70.0,-674.0
13,1752257816,7.0,0.0,0.0,376.28605516657547,7.0,314.555112,462.260856,70.0,-674.0
14,1752257821,7.0,0.0,0.0,376.28605516657547,7.0,314.555112,462.260856,70.0,-674.0
15,1752257826,7.0,0.0,0.0,376.28605516657547,7.0,314.555112,462.260856,70.0,-674.0
16,1752257831,7.0,0.0,0.0,376.28605516657547,7.0,314.555112,462.260856,70.0,-674.0
17,1752257836,7.0,0.0,0.0,376.28605516657547,7.0,379.08995,359.484255,70.0,-571.0
18,1752257841,7.0,0.0,0.0,376.28605516657547,7.0,379.08995,359.484255,70.0,-571.0
19,1752257846,7.0,0.0,0.0,347.0,7.0,379.08995,359.484255,70.0,-571.0
20,1752257851,7.0,0.0,0.0,347.0,7.0,379.08995,359.484255,70.0,-571.0
21,1752257856,7.0,0.0,0.0,347.0,7.0,379.08995,359.484255,70.0,-571.0
22,1752257861,7.0,0.0,0.0,347.0,7.0,379.08995,359.484255,70.0,-571.0
23,1752257866,7.0,0.0,0.0,347.0,7.0,363.752659,359.925661,70.0,-571.0
24,1752257871,7.0,0.0,0.0,347.0,7.0,363.752659,359.925661,70.0,-571.0
25,1752257876,7.0,0.0,0.0,370.0458355735792,7.0,363.752659,359.925661,70.0,-571.0
26,1752257881,7.0,0.0,0.0,370.0458355735792,7.0,363.752659,359.925661,70.0,-571.0
27,1752257886,7.0,0.0,0.0,370.0458355735792,7.0,363.752659,359.925661,70.0,-571.0
28,1752257891,7.0,0.0,0.0,370.0458355735792,7.0,363.752659,359.925661,70.0,-571.0
29,1752257896,7.0,0.0,0.0,370.0458355735792,7.0,367.95422,412.4814,70.0,-624.0
30,1752257901,7.0,0.0,0.0,370.0458355735792,7.0,367.95422,412.4814,70.0,-624.0
31,1752257906,7.0,0.0,0.0,467.3933249156238,7.0,367.95422,412.4814,70.0,-624.0
32,1752257911,7.0,0.0,0.0,467.3933249156238,7.0,367.95422,412.4814,70.0,-624.0
33,1752257916,7.0,0.0,0.0,467.3933249156238,7.0,367.95422,412.4814,70.0,-624.0
34,1752257921,7.0,0.0,0.0,467.3933249156238,7.0,367.95422,412.4814,70.0,-624.0
35,1752257926,7.0,0.0,0.0,467.3933249156238,7.0,423.835726,447.262447,70.0,-659.0
