request_type,name,response_time,response_length,status_code
GET,/hotels,2597.8432789997896,43, 200
GET,/hotels,4620.398578997992,43, 200
GET,/hotels,12629.792537998583,43, 200
GET,/hotels,12523.515408000094,178, 500
GET,/hotels,545.9175430005416,178, 500
GET,/hotels,16554.65174800338,178, 500
GET,/hotels,20554.567719998886,178, 500
GET,/hotels,18560.57595799939,178, 500
GET,/hotels,8550.020652997773,178, 500
GET,/hotels,10557.444717996987,178, 500
GET,/hotels,2551.005832996452,178, 500
GET,/recommendations,33.094976999564096,902, 200
GET,/hotels,37.15144500165479,43, 200
GET,/hotels,149.82581199728884,43, 200
GET,/hotels,57.083751999016386,43, 200
GET,/recommendations,83.36405900627142,902, 200
GET,/recommendations,33.68926300026942,902, 200
GET,/hotels,317.67201599723194,43, 200
GET,/recommendations,46.5287580009317,204, 200
GET,/recommendations,21.703714999603108,211, 200
GET,/recommendations,20.423021996975876,204, 200
GET,/recommendations,35.02465700148605,902, 200
GET,/hotels,523.2814760020119,43, 200
GET,/hotels,532.6649119961075,43, 200
GET,/hotels,1317.7112199991825,43, 200
GET,/hotels,545.4818319994956,43, 200
GET,/hotels,180.48402899876237,178, 500
GET,/hotels,1140.9073239992722,178, 500
GET,/hotels,1369.1981689989916,178, 500
GET,/hotels,2258.739107994188,178, 500
GET,/hotels,48.88800899789203,178, 500
GET,/recommendations,127.82971099659335,216, 200
GET,/hotels,25.617036000767257,178, 500
GET,/hotels,34.147923994169105,178, 500
GET,/hotels,34.96017499855952,178, 500
GET,/hotels,71.68718500179239,178, 500
GET,/recommendations,40.1898700001766,212, 200
GET,/hotels,34.54721100570168,178, 500
GET,/hotels,35.873668995918706,178, 500
GET,/hotels,36.51782899396494,178, 500
GET,/recommendations,82.38162699854001,204, 200
GET,/hotels,60.20250800065696,178, 500
GET,/recommendations,33.38313499989454,204, 200
GET,/hotels,47.9953559988644,178, 500
GET,/recommendations,27.767651998146903,212, 200
GET,/recommendations,32.467098004417494,204, 200
GET,/recommendations,90.35517700249329,902, 200
GET,/recommendations,32.845385001564864,902, 200
GET,/hotels,182.9159660046571,178, 500
GET,/hotels,52.74226699839346,178, 500
GET,/recommendations,27.551653001864906,212, 200
GET,/hotels,29.57072000572225,178, 500
GET,/recommendations,81.866551998246,217, 200
GET,/recommendations,37.54207299789414,204, 200
GET,/recommendations,92.85841700329911,902, 200
GET,/hotels,31.690835996414535,178, 500
GET,/hotels,37.36637999827508,178, 500
GET,/recommendations,20.66360800381517,212, 200
GET,/hotels,41.94119900057558,178, 500
GET,/hotels,26.16651899734279,178, 500
GET,/hotels,28.438791996450163,178, 500
GET,/hotels,39.421590001438744,178, 500
GET,/hotels,30.921500001568347,178, 500
GET,/hotels,99.51766199810663,178, 500
GET,/hotels,24.032473003899213,178, 500
GET,/recommendations,23.907529001007788,204, 200
GET,/hotels,30.216790997656062,178, 500
GET,/recommendations,42.32993800542317,204, 200
GET,/hotels,35.45806599868229,178, 500
GET,/recommendations,25.153337999654468,204, 200
GET,/hotels,34.11966800194932,178, 500
GET,/recommendations,23.220675997436047,212, 200
GET,/recommendations,58.141916000749916,902, 200
GET,/hotels,116.90465299761854,178, 500
GET,/hotels,25.29775199946016,178, 500
GET,/hotels,31.460223995964043,178, 500
GET,/hotels,28.20159099792363,178, 500
GET,/recommendations,33.23475499928463,204, 200
GET,/hotels,26.56329399906099,178, 500
GET,/hotels,29.658526000275742,178, 500
GET,/recommendations,25.56538399949204,902, 200
GET,/recommendations,21.381150996603537,204, 200
GET,/hotels,107.14344700681977,178, 500
GET,/recommendations,24.242901003162842,902, 200
GET,/hotels,29.264628996315878,178, 500
GET,/hotels,27.56820200011134,178, 500
GET,/recommendations,23.14536400081124,215, 200
GET,/hotels,33.10990699537797,178, 500
GET,/hotels,27.688981994288042,178, 500
POST,/user,20.21770599822048,64, 200
GET,/hotels,30.58106899698032,178, 500
GET,/hotels,30.993886997748632,178, 500
