Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752788645,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788646,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788647,21,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788648,42,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788649,63,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788650,84,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788651,105,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788652,126,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788653,147,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752788654,168,,Aggregated,0.000000,0.000000,2800,3800,5800,5800,5800,6800,6800,6800,6800,6800,6800,19,0,2800.0,3178.2474005797812,336.65351800300414,6787.940433998301,384.1578947368421
1752788655,189,,Aggregated,0.000000,0.000000,3800,4800,5800,5800,6800,6800,6800,6800,6800,6800,6800,79,0,3800.0,3515.045657114489,170.95101100130705,6831.393961001595,373.56962025316454
1752788656,210,,Aggregated,0.000000,0.000000,3800,4800,5800,5800,6800,6800,6800,6800,6800,6800,6800,79,0,3800.0,3515.045657114489,170.95101100130705,6831.393961001595,373.56962025316454
1752788657,231,,Aggregated,8.777778,0.000000,2800,4700,5700,5800,6800,6800,6800,6800,6800,6800,6800,86,0,2800.0,3239.284922523819,22.830064001027495,6831.393961001595,376.3720930232558
1752788658,252,,Aggregated,8.777778,0.000000,1800,3800,4800,4800,5800,6800,6800,6800,6800,6800,6800,111,0,1800.0,2537.192196198498,22.830064001027495,6831.393961001595,388.7837837837838
1752788659,273,,Aggregated,8.777778,0.000000,1800,3800,4800,4800,5800,6800,6800,6800,6800,6800,6800,111,0,1800.0,2537.192196198498,22.830064001027495,6831.393961001595,388.7837837837838
1752788660,294,,Aggregated,11.200000,0.000000,820,2800,3800,4800,5800,6800,6800,6800,6800,6800,6800,128,0,820.0,2238.269952070482,22.830064001027495,6831.393961001595,379.8359375
1752788661,315,,Aggregated,11.200000,0.000000,230,1800,2800,3800,5800,6800,6800,6800,6800,6800,6800,173,0,230.0,1691.5079019771538,22.572428999410477,6831.393961001595,411.42774566473986
1752788662,336,,Aggregated,11.200000,0.000000,230,1800,2800,3800,5800,6800,6800,6800,6800,6800,6800,173,0,230.0,1691.5079019771538,22.572428999410477,6831.393961001595,411.42774566473986
1752788663,357,,Aggregated,17.300000,0.000000,230,1800,2800,3800,5800,6800,6800,6800,6800,6800,6800,186,0,220.0,1598.2852523334896,22.572428999410477,6831.393961001595,414.19354838709677
1752788664,378,,Aggregated,17.300000,0.000000,220,360,2800,3800,5800,6800,6800,6800,14000,14000,14000,231,0,220.0,1517.497742736122,22.572428999410477,13981.194752996089,401.5151515151515
1752788665,399,,Aggregated,17.300000,0.000000,220,360,2800,3800,5800,6800,6800,6800,14000,14000,14000,231,0,220.0,1517.497742736122,22.572428999410477,13981.194752996089,401.5151515151515
1752788666,420,,Aggregated,16.300000,0.000000,210,350,2800,3800,5700,6600,6800,6800,14000,14000,14000,243,0,210.0,1448.335827572234,22.572428999410477,13981.194752996089,403.4732510288066
1752788667,441,,Aggregated,16.300000,0.000000,210,280,1800,2800,4800,5800,6800,6800,14000,14000,14000,277,0,210.0,1286.0386534261984,18.739109000307508,13981.194752996089,414.69675090252707
1752788668,462,,Aggregated,16.300000,0.000000,210,280,1800,2800,4800,5800,6800,6800,14000,14000,14000,277,0,210.0,1286.0386534261984,18.739109000307508,13981.194752996089,414.69675090252707
1752788669,483,,Aggregated,18.800000,0.000000,210,280,820,2800,4800,5800,6800,6800,14000,14000,14000,285,0,210.0,1253.7800373826606,18.739109000307508,13981.194752996089,411.36842105263156
1752788670,504,,Aggregated,18.800000,0.000000,200,230,360,1800,4700,5800,6800,6800,14000,14000,14000,322,0,200.0,1124.6073941150578,18.739109000307508,13981.194752996089,418.3354037267081
1752788671,495,,Aggregated,18.800000,0.000000,200,230,360,1800,4700,5800,6800,6800,14000,14000,14000,322,0,200.0,1124.6073941150578,18.739109000307508,13981.194752996089,418.3354037267081
1752788672,480,,Aggregated,16.800000,0.000000,210,1300,3800,4800,9300,15000,21000,23000,24000,24000,24000,390,0,210.0,2842.3052705590612,18.739109000307508,24200.883894998697,355.94615384615383
