index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
1759427602,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-211.0,
1759427607,3.0,0.0,1.0,3.0,80.576298,177.749063,7.0,-389.0,
1759427612,3.0,0.0,1.0,3.0,80.576298,177.749063,7.0,-389.0,
1759427617,3.0,0.0,1.0,3.0,80.576298,177.749063,7.0,-389.0,0.004268193907005973
1759427622,3.0,0.0,1.0,3.0,80.576298,177.749063,7.0,-389.0,0.007267537515823741
1759427627,3.0,0.0,1.0,3.0,80.576298,177.749063,7.0,-389.0,0.00654631951676923
1759427632,3.0,0.0,1.0,3.0,80.576298,177.749063,7.0,-389.0,0.007078848507407261
1759427637,3.0,0.0,3.0,1.0,0.0,0.0,7.0,-181.0,0.007250723487105284
1759427642,3.0,0.0,3.0,1.0,0.0,0.0,7.0,-181.0,0.00663935531380572
1759427647,3.0,0.0,3.0,1.0,0.0,0.0,7.0,-181.0,0.007003495369610502
1759427652,3.0,0.0,3.0,1.0,0.0,0.0,7.0,-181.0,0.007697339790488278
1759427657,3.0,0.0,3.0,1.0,0.0,0.0,7.0,-181.0,0.00823620306632263
1759427662,3.0,0.0,3.0,1.0,0.0,0.0,7.0,-181.0,0.010656753761370881
1759427662,3.0,0.0,3.0,1.0,0.0,0.0,7.0,-181.0,0.01603718112659771
1759427667,1.0,4.0,1.0,1.0,0.0,0.0,7.0,-181.0,0.014145731512873808
1759427672,1.0,4.0,1.0,1.0,0.0,0.0,7.0,-181.0,0.012677905765154217
1759427677,1.0,4.0,1.0,1.0,0.0,0.0,7.0,-181.0,0.013219063438328826
1759427682,1.0,4.0,1.0,1.0,0.0,0.0,7.0,-181.0,0.014275469615097888
1759427687,1.0,4.0,1.0,1.0,0.0,0.0,7.0,-181.0,0.014470481519281694
1759427692,1.0,4.0,1.0,1.0,0.0,0.0,7.0,-181.0,0.017166683986807436
1759427697,0.0,4.0,1.0,0.0,0.0,0.0,7.0,-201.0,0.018193711679285508
1759427702,0.0,4.0,1.0,0.0,0.0,0.0,7.0,-201.0,0.018498403891539974
1759427707,0.0,4.0,1.0,0.0,0.0,0.0,7.0,-201.0,0.011514078604028175
