index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
1759427602,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-211.0,
1759427607,3.0,0.0,3.0,6.0,133.122163,165.191665,7.0,-347.0,
1759427612,3.0,0.0,3.0,6.0,133.122163,165.191665,7.0,-347.0,
1759427617,3.0,0.0,3.0,6.0,133.122163,165.191665,7.0,-347.0,
1759427622,3.0,0.0,3.0,6.0,133.122163,165.191665,7.0,-347.0,0.028005055649834833
1759427627,3.0,0.0,3.0,6.0,133.122163,165.191665,7.0,-347.0,0.034931905593618355
1759427632,3.0,0.0,3.0,6.0,133.122163,165.191665,7.0,-347.0,0.03798415701174039
1759427637,3.0,0.0,3.0,1.0,-1e-06,0.0,7.0,-181.0,0.02891438690243152
1759427642,3.0,0.0,3.0,1.0,-1e-06,0.0,7.0,-181.0,0.03296743780938796
1759427647,3.0,0.0,3.0,1.0,-1e-06,0.0,7.0,-181.0,0.035072595468265626
1759427652,3.0,0.0,3.0,1.0,-1e-06,0.0,7.0,-181.0,0.03628332711631683
1759427657,3.0,0.0,3.0,1.0,-1e-06,0.0,7.0,-181.0,0.035134513129362166
1759427662,3.0,0.0,3.0,1.0,-1e-06,0.0,7.0,-181.0,0.03764581482620984
1759427662,3.0,0.0,3.0,1.0,-1e-06,0.0,7.0,-181.0,0.05546697402256594
1759427667,1.0,4.0,1.0,1.0,-1e-06,0.0,7.0,-181.0,0.03455842874031022
1759427672,1.0,4.0,1.0,1.0,-1e-06,0.0,7.0,-181.0,0.03038852144205333
1759427677,1.0,4.0,1.0,1.0,-1e-06,0.0,7.0,-181.0,0.026982309343865446
1759427682,1.0,4.0,1.0,1.0,-1e-06,0.0,7.0,-181.0,0.03146926157959999
1759427687,1.0,4.0,1.0,1.0,-1e-06,0.0,7.0,-181.0,0.03414180754959349
1759427692,1.0,4.0,1.0,1.0,-1e-06,0.0,7.0,-181.0,0.04270457653918361
1759427697,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.04008287107154603
1759427702,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.03525726379886799
1759427707,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.018912510899345043
