,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752146148,5.0,0.0,5.0,5.0,0.046649,0.016029,70.0,288.0,0.025439268898321512
1,1752146153,5.0,0.0,5.0,5.0,0.046649,0.016029,70.0,288.0,0.020983464826066757
2,1752146158,5.0,0.0,5.0,5.0,0.046649,0.016029,70.0,288.0,0.02008493051591879
3,1752146163,5.0,0.0,5.0,5.0,0.046649,0.016029,70.0,288.0,0.01762634766932681
4,1752146168,5.0,0.0,5.0,5.0,0.046649,0.016029,70.0,288.0,0.016880562309412303
5,1752146173,5.0,0.0,5.0,5.0,0.046649,0.016029,70.0,288.0,0.015667251246864806
6,1752146178,5.0,0.0,5.0,5.0,0.021772,0.032057,70.0,288.0,0.017671584813550075
7,1752146183,5.0,0.0,5.0,5.0,0.021772,0.032057,70.0,288.0,0.020762767857835415
8,1752146188,5.0,0.0,5.0,5.0,0.021772,0.032057,70.0,288.0,0.021401218776222093
9,1752146193,5.0,0.0,5.0,5.0,0.021772,0.032057,70.0,288.0,0.023021506802245552
10,1752146198,5.0,0.0,5.0,5.0,0.021772,0.032057,70.0,288.0,0.023805403809744618
11,1752146203,5.0,0.0,5.0,5.0,0.021772,0.032057,70.0,288.0,0.024840376637075366
12,1752146208,5.0,0.0,5.0,5.0,0.037292,0.068697,70.0,288.0,0.028278115410631965
13,1752146213,5.0,0.0,5.0,5.0,0.037292,0.068697,70.0,288.0,0.031666076488850906
14,1752146218,5.0,0.0,5.0,5.0,0.037292,0.068697,70.0,288.0,0.032844352435364335
15,1752146223,5.0,0.0,5.0,5.0,0.037292,0.068697,70.0,288.0,0.03472652701997024
16,1752146228,5.0,0.0,5.0,5.0,0.037292,0.068697,70.0,288.0,0.03625443772436845
17,1752146233,5.0,0.0,5.0,5.0,0.037292,0.068697,70.0,288.0,0.03615242904720084
