,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752147410,5.0,0.0,5.0,5.0,0.988718,0.788433,70.0,288.0,0.22320398289589527
1,1752147415,5.0,0.0,5.0,5.0,0.988718,0.788433,70.0,288.0,0.2350225626010508
2,1752147420,5.0,0.0,5.0,5.0,0.988718,0.788433,70.0,288.0,0.226320708538463
3,1752147425,5.0,0.0,5.0,5.0,0.988718,0.788433,70.0,288.0,0.21554072679312822
4,1752147430,5.0,0.0,5.0,5.0,0.988718,0.788433,70.0,288.0,0.20761084602830807
5,1752147435,5.0,0.0,5.0,5.0,0.988718,0.788433,70.0,288.0,0.19560219623664304
6,1752147440,5.0,0.0,5.0,5.0,0.653029,0.484167,70.0,288.0,0.1854806959104989
7,1752147445,5.0,0.0,5.0,5.0,0.653029,0.484167,70.0,288.0,0.205523859028301
8,1752147450,5.0,0.0,5.0,5.0,0.653029,0.484167,70.0,288.0,0.19893261336189516
9,1752147455,5.0,0.0,5.0,5.0,0.653029,0.484167,70.0,288.0,0.19589331793548245
10,1752147460,5.0,0.0,5.0,5.0,0.653029,0.484167,70.0,288.0,0.17808498457366448
11,1752147465,5.0,0.0,5.0,5.0,0.653029,0.484167,70.0,288.0,0.19394109669705337
12,1752147470,5.0,0.0,5.0,5.0,0.659329,1.033015,70.0,287.0,0.1963326916637745
13,1752147475,5.0,0.0,5.0,5.0,0.659329,1.033015,70.0,287.0,0.19346122495939122
14,1752147480,5.0,0.0,5.0,5.0,0.659329,1.033015,70.0,287.0,0.20198716815975096
15,1752147485,5.0,0.0,5.0,5.0,0.659329,1.033015,70.0,287.0,0.21311934553102235
16,1752147490,5.0,0.0,5.0,5.0,0.659329,1.033015,70.0,287.0,0.21654875716361233
17,1752147495,5.0,0.0,5.0,5.0,0.659329,1.033015,70.0,287.0,0.2179388306772833
18,1752147500,5.0,0.0,5.0,5.0,0.77209,0.521189,70.0,288.0,0.22113365980705613
19,1752147505,5.0,0.0,5.0,5.0,0.77209,0.521189,70.0,288.0,0.2029976809940554
20,1752147510,5.0,0.0,5.0,5.0,0.77209,0.521189,70.0,288.0,0.2080150029065541
21,1752147515,5.0,0.0,5.0,5.0,0.77209,0.521189,70.0,288.0,0.2087625806714594
22,1752147520,5.0,0.0,5.0,5.0,0.77209,0.521189,70.0,288.0,0.20346003962759557
23,1752147525,5.0,0.0,5.0,5.0,0.77209,0.521189,70.0,288.0,0.19598038390552333
24,1752147530,5.0,0.0,5.0,5.0,0.709153,0.649578,70.0,288.0,0.20289487910090961
