,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752136563,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008582223616299297
1,1752136568,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008692936680774129
2,1752136573,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008692936680774129
3,1752136578,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006594886455946118
4,1752136583,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007793889803427907
5,1752136588,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007793889803427907
6,1752136593,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006404975341069259
7,1752136598,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008346976117103238
8,1752136603,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008346976117103238
9,1752136608,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008346976117103238
10,1752136613,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007483891977390616
11,1752136618,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007483891977390616
12,1752136623,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007238256828283205
13,1752136628,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007042189695019715
14,1752136633,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007042189695019715
15,1752136638,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006250377400259878
16,1752136643,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007259252129553877
17,1752136648,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007259252129553877
18,1752136653,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000589806169690553
19,1752136658,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008835029054068652
20,1752136663,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008835029054068655
21,1752136668,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008601937807538174
22,1752136673,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009142087795103007
23,1752136678,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009142087795103007
24,1752136683,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008647890340544013
25,1752136688,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008647890340544013
26,1752136693,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008647890340544013
27,1752136698,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000678865565593508
28,1752136703,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008154595746840582
