,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752147410,5.0,0.0,5.0,5.0,0.683219,0.561819,70.0,288.0,0.06537100622570709
1,1752147415,5.0,0.0,5.0,5.0,0.683219,0.561819,70.0,288.0,0.06474343314711671
2,1752147420,5.0,0.0,5.0,5.0,0.683219,0.561819,70.0,288.0,0.05815245301163005
3,1752147425,5.0,0.0,5.0,5.0,0.683219,0.561819,70.0,288.0,0.054932687580246484
4,1752147430,5.0,0.0,5.0,5.0,0.683219,0.561819,70.0,288.0,0.056522052134910676
5,1752147435,5.0,0.0,5.0,5.0,0.683219,0.561819,70.0,288.0,0.05402103288726963
6,1752147440,5.0,0.0,5.0,5.0,0.468414,0.332712,70.0,288.0,0.05108459247128794
7,1752147445,5.0,0.0,5.0,5.0,0.468414,0.332712,70.0,288.0,0.05515022199949682
8,1752147450,5.0,0.0,5.0,5.0,0.468414,0.332712,70.0,288.0,0.055177308102178954
9,1752147455,5.0,0.0,5.0,5.0,0.468414,0.332712,70.0,288.0,0.05330117495915545
10,1752147460,5.0,0.0,5.0,5.0,0.468414,0.332712,70.0,288.0,0.05354118429872311
11,1752147465,5.0,0.0,5.0,5.0,0.468414,0.332712,70.0,288.0,0.05212557075944737
12,1752147470,5.0,0.0,5.0,5.0,0.456798,0.612031,70.0,288.0,0.056550253587444615
13,1752147475,5.0,0.0,5.0,5.0,0.456798,0.612031,70.0,288.0,0.056818308671601155
14,1752147480,5.0,0.0,5.0,5.0,0.456798,0.612031,70.0,288.0,0.05817217184309657
15,1752147485,5.0,0.0,5.0,5.0,0.456798,0.612031,70.0,288.0,0.0580564146909635
16,1752147490,5.0,0.0,5.0,5.0,0.456798,0.612031,70.0,288.0,0.05835674512738171
17,1752147495,5.0,0.0,5.0,5.0,0.456798,0.612031,70.0,288.0,0.05937648356616699
18,1752147500,5.0,0.0,5.0,5.0,0.519694,0.311425,70.0,288.0,0.05758914279007939
19,1752147505,5.0,0.0,5.0,5.0,0.519694,0.311425,70.0,288.0,0.059677302909279334
20,1752147510,5.0,0.0,5.0,5.0,0.519694,0.311425,70.0,288.0,0.05870627844105129
21,1752147515,5.0,0.0,5.0,5.0,0.519694,0.311425,70.0,288.0,0.05794542489293181
22,1752147520,5.0,0.0,5.0,5.0,0.519694,0.311425,70.0,288.0,0.05802128891750992
23,1752147525,5.0,0.0,5.0,5.0,0.519694,0.311425,70.0,288.0,0.057934151667612455
24,1752147530,5.0,0.0,5.0,5.0,0.469627,0.429327,70.0,288.0,0.054857071052538287
25,1752147535,5.0,0.0,5.0,5.0,0.469627,0.429327,70.0,288.0,0.054547751249338854
26,1752147540,5.0,0.0,5.0,5.0,0.469627,0.429327,70.0,288.0,0.05233143045534158
27,1752147545,5.0,0.0,5.0,5.0,0.469627,0.429327,70.0,288.0,0.05797705916600251
28,1752147550,5.0,0.0,5.0,5.0,0.469627,0.429327,70.0,288.0,0.05680001916669361
29,1752147555,5.0,0.0,5.0,5.0,0.469627,0.429327,70.0,288.0,0.060672379304119506
30,1752147560,5.0,0.0,5.0,5.0,0.529428,0.831146,70.0,288.0,0.06043553543256005
31,1752147565,5.0,0.0,5.0,5.0,0.529428,0.831146,70.0,288.0,0.0625670966676083
32,1752147570,5.0,0.0,5.0,5.0,0.529428,0.831146,70.0,288.0,0.06459996880887582
33,1752147575,5.0,0.0,5.0,5.0,0.529428,0.831146,70.0,288.0,0.06135691548976421
34,1752147580,5.0,0.0,5.0,5.0,0.529428,0.831146,70.0,288.0,0.06420895672553356
35,1752147585,5.0,0.0,5.0,5.0,0.529428,0.831146,70.0,288.0,0.06653731023128787
36,1752147590,5.0,0.0,5.0,5.0,0.629152,0.611489,70.0,288.0,0.06676952813061972
