,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752139701,5.0,0.0,5.0,5.0,6.886227,23.370857,70.0,265.0,0.18878156106976182
1,1752139706,5.0,0.0,5.0,5.0,6.886227,23.370857,70.0,265.0,0.3467170366776592
2,1752139711,5.0,0.0,5.0,5.0,6.886227,23.370857,70.0,265.0,0.35023521837244076
3,1752139716,5.0,0.0,5.0,5.0,6.886227,23.370857,70.0,265.0,0.3364349550624318
4,1752139721,5.0,0.0,5.0,5.0,6.886227,23.370857,70.0,265.0,0.3341684098673746
5,1752139726,5.0,0.0,5.0,5.0,4.042352,1.622138,70.0,287.0,0.30994424079765814
6,1752139731,5.0,0.0,5.0,5.0,4.042352,1.622138,70.0,287.0,0.32566408522999185
7,1752139736,5.0,0.0,5.0,5.0,4.042352,1.622138,70.0,287.0,0.38202087702969495
8,1752139741,5.0,0.0,5.0,5.0,4.042352,1.622138,70.0,287.0,0.4300975410316757
9,1752139746,5.0,0.0,5.0,5.0,4.042352,1.622138,70.0,287.0,0.40778643322354935
10,1752139751,5.0,0.0,5.0,5.0,4.042352,1.622138,70.0,287.0,0.44186960789069146
11,1752139756,5.0,0.0,5.0,5.0,11.87172,39.100969,70.0,249.0,0.5347219681024842
12,1752139761,5.0,0.0,5.0,5.0,11.87172,39.100969,70.0,249.0,0.5347219681024842
13,1752139766,5.0,0.0,5.0,5.0,11.87172,39.100969,70.0,249.0,0.7956195109147877
14,1752139771,5.0,0.0,5.0,5.0,11.87172,39.100969,70.0,249.0,0.8766965921616733
15,1752139776,5.0,0.0,5.0,5.0,11.87172,39.100969,70.0,249.0,0.9143346340728984
16,1752139781,5.0,0.0,5.0,5.0,11.87172,39.100969,70.0,249.0,0.9470371254206372
17,1752139786,5.0,0.0,5.0,5.0,29.823071,18.925874,70.0,270.0,0.9554115599579612
18,1752139791,5.0,0.0,5.0,5.0,29.823071,18.925874,70.0,270.0,1.0266542352432606
19,1752139796,5.0,0.0,5.0,5.0,29.823071,18.925874,70.0,270.0,1.0072658302156423
20,1752139801,5.0,0.0,5.0,5.0,29.823071,18.925874,70.0,270.0,1.0407028730528447
21,1752139806,5.0,0.0,5.0,5.0,29.823071,18.925874,70.0,270.0,1.0415410735484998
22,1752139811,5.0,0.0,5.0,5.0,29.823071,18.925874,70.0,270.0,1.0084394390782445
23,1752139816,5.0,0.0,5.0,5.0,53.555143,55.756885,70.0,233.0,1.0308498087440583
24,1752139821,5.0,0.0,5.0,5.0,53.555143,55.756885,70.0,233.0,1.0285624083223577
25,1752139826,5.0,0.0,5.0,5.0,53.555143,55.756885,70.0,233.0,0.9519513021165176
26,1752139831,5.0,0.0,5.0,5.0,53.555143,55.756885,70.0,233.0,0.7124607045813208
