,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752146148,5.0,0.0,5.0,5.0,0.097842,0.03174,70.0,288.0,0.036518789234448415
1,1752146153,5.0,0.0,5.0,5.0,0.097842,0.03174,70.0,288.0,0.03143814877644274
2,1752146158,5.0,0.0,5.0,5.0,0.097842,0.03174,70.0,288.0,0.03058606489392487
3,1752146163,5.0,0.0,5.0,5.0,0.097842,0.03174,70.0,288.0,0.028723062707822336
4,1752146168,5.0,0.0,5.0,5.0,0.097842,0.03174,70.0,288.0,0.022046504745300365
5,1752146173,5.0,0.0,5.0,5.0,0.097842,0.03174,70.0,288.0,0.024646832075577413
6,1752146178,5.0,0.0,5.0,5.0,0.035771,0.04943,70.0,288.0,0.02487189149779026
7,1752146183,5.0,0.0,5.0,5.0,0.035771,0.04943,70.0,288.0,0.027325969331868434
8,1752146188,5.0,0.0,5.0,5.0,0.035771,0.04943,70.0,288.0,0.03078350418170411
9,1752146193,5.0,0.0,5.0,5.0,0.035771,0.04943,70.0,288.0,0.03436388346754312
10,1752146198,5.0,0.0,5.0,5.0,0.035771,0.04943,70.0,288.0,0.03572804800058189
11,1752146203,5.0,0.0,5.0,5.0,0.035771,0.04943,70.0,288.0,0.03849762005211172
12,1752146208,5.0,0.0,5.0,5.0,0.05799,0.09647,70.0,288.0,0.04140043857860704
13,1752146213,5.0,0.0,5.0,5.0,0.05799,0.09647,70.0,288.0,0.046644785500457434
14,1752146218,5.0,0.0,5.0,5.0,0.05799,0.09647,70.0,288.0,0.050979574716445555
15,1752146223,5.0,0.0,5.0,5.0,0.05799,0.09647,70.0,288.0,0.05227463579086634
16,1752146228,5.0,0.0,5.0,5.0,0.05799,0.09647,70.0,288.0,0.051776765811045684
17,1752146233,5.0,0.0,5.0,5.0,0.05799,0.09647,70.0,288.0,0.057335287770050355
18,1752146238,5.0,0.0,5.0,5.0,0.083,0.078475,70.0,288.0,0.05816387246728874
19,1752146243,5.0,0.0,5.0,5.0,0.083,0.078475,70.0,288.0,0.05485115578401775
20,1752146248,5.0,0.0,5.0,5.0,0.083,0.078475,70.0,288.0,0.05569983483439543
21,1752146253,5.0,0.0,5.0,5.0,0.083,0.078475,70.0,288.0,0.056418385689136
22,1752146258,5.0,0.0,5.0,5.0,0.083,0.078475,70.0,288.0,0.05208659998600905
23,1752146263,5.0,0.0,5.0,5.0,0.083,0.078475,70.0,288.0,0.05598028641224949
24,1752146268,5.0,0.0,5.0,5.0,0.092811,0.117056,70.0,288.0,0.05661704769108372
25,1752146273,5.0,0.0,5.0,5.0,0.092811,0.117056,70.0,288.0,0.056343502522008024
26,1752146278,5.0,0.0,5.0,5.0,0.092811,0.117056,70.0,288.0,0.05410495823647856
27,1752146283,5.0,0.0,5.0,5.0,0.092811,0.117056,70.0,288.0,0.05905084239110406
28,1752146288,5.0,0.0,5.0,5.0,0.092811,0.117056,70.0,288.0,0.06072307572665588
29,1752146293,5.0,0.0,5.0,5.0,0.092811,0.117056,70.0,288.0,0.060600898249974736
30,1752146298,5.0,0.0,5.0,5.0,0.140435,0.103307,70.0,288.0,0.06108917140469671
31,1752146303,5.0,0.0,5.0,5.0,0.140435,0.103307,70.0,288.0,0.05723470537801798
32,1752146308,5.0,0.0,5.0,5.0,0.140435,0.103307,70.0,288.0,0.060194796959160794
