request_type,name,response_time,response_length,status_code
GET,/recommendations,6644.498680000652,212, 200
GET,/recommendations,2639.124331999483,902, 200
GET,/recommendations,2650.395505999768,211, 200
GET,/recommendations,141.27520600050048,215, 200
GET,/recommendations,201.00601499962067,902, 200
GET,/recommendations,126.06926600074075,204, 200
GET,/recommendations,63.47129099958693,212, 200
GET,/recommendations,190.14474600044196,216, 200
GET,/recommendations,159.09486700002162,204, 200
GET,/recommendations,27.750448000006145,902, 200
GET,/hotels,12071.865330000037,43, 200
GET,/hotels,175.21807000048284,43, 200
GET,/hotels,4405.9401530003015,43, 200
GET,/hotels,4189.756245000353,43, 200
GET,/hotels,8212.256452000474,43, 200
GET,/hotels,9228.95581099965,43, 200
GET,/hotels,6249.81314499928,43, 200
GET,/recommendations,70.21226500000921,902, 200
GET,/hotels,15101.79578899988,178, 500
GET,/hotels,4096.393343000273,178, 500
GET,/hotels,5909.923432999676,178, 500
GET,/hotels,13132.101629999852,178, 500
GET,/hotels,5112.702486000671,178, 500
GET,/hotels,120.23515999953815,178, 500
GET,/hotels,1520.8637230007298,178, 500
GET,/hotels,2537.2916850001275,178, 500
GET,/recommendations,24.968865999653644,211, 200
GET,/hotels,395.69741299965244,43, 200
GET,/hotels,530.6700889996137,43, 200
GET,/hotels,1310.8177430003707,43, 200
GET,/hotels,349.40712000025087,43, 200
POST,/user,48.6372189998292,64, 200
GET,/recommendations,27.242022999416804,204, 200
GET,/hotels,213.0998439997711,43, 200
GET,/recommendations,383.46421200003533,215, 200
GET,/recommendations,70.76494300054037,204, 200
GET,/hotels,81.00270300019474,43, 200
GET,/recommendations,31.32983800060174,902, 200
GET,/recommendations,92.22614500049531,902, 200
GET,/recommendations,141.1832300000242,211, 200
GET,/recommendations,265.38388500011934,204, 200
GET,/recommendations,88.82337399973039,902, 200
GET,/hotels,374.27827500050626,178, 500
GET,/hotels,1735.6545660004485,178, 500
GET,/hotels,1404.2199529994832,178, 500
