,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752147410,5.0,0.0,5.0,5.0,20.355568,19.233988,70.0,269.0,0.9010982826623997
1,1752147415,5.0,0.0,5.0,5.0,20.355568,19.233988,70.0,269.0,0.9301316101937865
2,1752147420,5.0,0.0,5.0,5.0,20.355568,19.233988,70.0,269.0,0.9205019440692528
3,1752147425,5.0,0.0,5.0,5.0,20.355568,19.233988,70.0,269.0,0.8461772888552619
4,1752147430,5.0,0.0,5.0,5.0,20.355568,19.233988,70.0,269.0,0.8315853747276782
5,1752147435,5.0,0.0,5.0,5.0,20.355568,19.233988,70.0,269.0,0.7630124658937967
6,1752147440,5.0,0.0,5.0,5.0,12.826157,6.811466,70.0,282.0,0.8040732884711219
7,1752147445,5.0,0.0,5.0,5.0,12.826157,6.811466,70.0,282.0,0.8022510231851211
8,1752147450,5.0,0.0,5.0,5.0,12.826157,6.811466,70.0,282.0,0.8243085710817111
9,1752147455,5.0,0.0,5.0,5.0,12.826157,6.811466,70.0,282.0,0.7598474024714177
10,1752147460,5.0,0.0,5.0,5.0,12.826157,6.811466,70.0,282.0,0.7762485112339577
11,1752147465,5.0,0.0,5.0,5.0,12.826157,6.811466,70.0,282.0,0.7720441266686232
12,1752147470,5.0,0.0,5.0,5.0,11.340601,13.497083,70.0,275.0,0.7816734003370934
13,1752147475,5.0,0.0,5.0,5.0,11.340601,13.497083,70.0,275.0,0.8113273972431
14,1752147480,5.0,0.0,5.0,5.0,11.340601,13.497083,70.0,275.0,0.8457808804085147
15,1752147485,5.0,0.0,5.0,5.0,11.340601,13.497083,70.0,275.0,0.8716406835724797
16,1752147490,5.0,0.0,5.0,5.0,11.340601,13.497083,70.0,275.0,0.8561179771889178
17,1752147495,5.0,0.0,5.0,5.0,11.340601,13.497083,70.0,275.0,0.8550764990848487
18,1752147500,5.0,0.0,5.0,5.0,12.693941,7.852659,70.0,281.0,0.8556054521797481
19,1752147505,5.0,0.0,5.0,5.0,12.693941,7.852659,70.0,281.0,0.8749775538302222
20,1752147510,5.0,0.0,5.0,5.0,12.693941,7.852659,70.0,281.0,0.8688527799291365
21,1752147515,5.0,0.0,5.0,5.0,12.693941,7.852659,70.0,281.0,0.8701672686716783
22,1752147520,5.0,0.0,5.0,5.0,12.693941,7.852659,70.0,281.0,0.8611568693254825
23,1752147525,5.0,0.0,5.0,5.0,12.693941,7.852659,70.0,281.0,0.8528623499223829
24,1752147530,5.0,0.0,5.0,5.0,11.474365,10.327458,70.0,278.0,0.836952626118684
