,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752146148,5.0,0.0,5.0,5.0,16.083514,0.166553,70.0,288.0,0.144003371843874
1,1752146153,5.0,0.0,5.0,5.0,16.083514,0.166553,70.0,288.0,0.10770357688948122
2,1752146158,5.0,0.0,5.0,5.0,16.083514,0.166553,70.0,288.0,0.06934973039229769
3,1752146163,5.0,0.0,5.0,5.0,16.083514,0.166553,70.0,288.0,0.05456128061066747
4,1752146168,5.0,0.0,5.0,5.0,16.083514,0.166553,70.0,288.0,0.060521457358785044
5,1752146173,5.0,0.0,5.0,5.0,16.083514,0.166553,70.0,288.0,0.056927967436100034
6,1752146178,5.0,0.0,5.0,5.0,0.205961,0.355351,70.0,288.0,0.06616320983581085
7,1752146183,5.0,0.0,5.0,5.0,0.205961,0.355351,70.0,288.0,0.06982746960133121
8,1752146188,5.0,0.0,5.0,5.0,0.205961,0.355351,70.0,288.0,0.07998191588424422
9,1752146193,5.0,0.0,5.0,5.0,0.205961,0.355351,70.0,288.0,0.08974739425877165
10,1752146198,5.0,0.0,5.0,5.0,0.205961,0.355351,70.0,288.0,0.09672393069796512
11,1752146203,5.0,0.0,5.0,5.0,0.205961,0.355351,70.0,288.0,0.09336204849217838
12,1752146208,5.0,0.0,5.0,5.0,0.385479,0.813565,70.0,288.0,0.10080798066803412
13,1752146213,5.0,0.0,5.0,5.0,0.385479,0.813565,70.0,288.0,0.11081988898770982
14,1752146218,5.0,0.0,5.0,5.0,0.385479,0.813565,70.0,288.0,0.13115909114308358
15,1752146223,5.0,0.0,5.0,5.0,0.385479,0.813565,70.0,288.0,0.13709109814511983
16,1752146228,5.0,0.0,5.0,5.0,0.385479,0.813565,70.0,288.0,0.14435710080142106
17,1752146233,5.0,0.0,5.0,5.0,0.385479,0.813565,70.0,288.0,0.14675136666164734
18,1752146238,5.0,0.0,5.0,5.0,0.576975,0.458923,70.0,288.0,0.15815638910505694
19,1752146243,5.0,0.0,5.0,5.0,0.576975,0.458923,70.0,288.0,0.15242181417129091
20,1752146248,5.0,0.0,5.0,5.0,0.576975,0.458923,70.0,288.0,0.15604487591574634
21,1752146253,5.0,0.0,5.0,5.0,0.576975,0.458923,70.0,288.0,0.14934968597456474
22,1752146258,5.0,0.0,5.0,5.0,0.576975,0.458923,70.0,288.0,0.14759960951893072
23,1752146263,5.0,0.0,5.0,5.0,0.576975,0.458923,70.0,288.0,0.1485116938218519
24,1752146268,5.0,0.0,5.0,5.0,0.659155,0.934713,70.0,288.0,0.16169709707320554
25,1752146273,5.0,0.0,5.0,5.0,0.659155,0.934713,70.0,288.0,0.17934984717823443
26,1752146278,5.0,0.0,5.0,5.0,0.659155,0.934713,70.0,288.0,0.23733169155591816
27,1752146283,5.0,0.0,5.0,5.0,0.659155,0.934713,70.0,288.0,0.29421293862456666
28,1752146288,5.0,0.0,5.0,5.0,0.659155,0.934713,70.0,288.0,0.3212982972944798
29,1752146293,5.0,0.0,5.0,5.0,0.659155,0.934713,70.0,288.0,0.33070928360229324
30,1752146298,5.0,0.0,5.0,5.0,19.956827,0.651533,70.0,288.0,0.3393107767654049
31,1752146303,5.0,0.0,5.0,5.0,19.956827,0.651533,70.0,288.0,0.35379852082035246
32,1752146308,5.0,0.0,5.0,5.0,19.956827,0.651533,70.0,288.0,0.3309104019835412
33,1752146313,5.0,0.0,5.0,5.0,19.956827,0.651533,70.0,288.0,0.34671934469365695
34,1752146318,5.0,0.0,5.0,5.0,19.956827,0.651533,70.0,288.0,0.31492113707711794
35,1752146323,5.0,0.0,5.0,5.0,19.956827,0.651533,70.0,288.0,0.2846809125100859
36,1752146328,5.0,0.0,5.0,5.0,19.422321,0.824331,70.0,288.0,0.21235706073565372
37,1752146333,5.0,0.0,5.0,5.0,19.422321,0.824331,70.0,288.0,0.19143895634160857
38,1752146338,5.0,0.0,5.0,5.0,19.422321,0.824331,70.0,288.0,0.15497421564264785
39,1752146343,5.0,0.0,5.0,5.0,19.422321,0.824331,70.0,288.0,0.16878577924691657
40,1752146348,5.0,0.0,5.0,5.0,19.422321,0.824331,70.0,288.0,0.162133372770797
41,1752146353,5.0,0.0,5.0,5.0,19.422321,0.824331,70.0,288.0,0.16333123174745154
42,1752146358,5.0,0.0,5.0,5.0,0.709088,0.687068,70.0,288.0,0.16040085920844757
43,1752146363,5.0,0.0,5.0,5.0,0.709088,0.687068,70.0,288.0,0.171002236647943
44,1752146368,5.0,0.0,5.0,5.0,0.709088,0.687068,70.0,288.0,0.1608055050468144
45,1752146373,5.0,0.0,5.0,5.0,0.709088,0.687068,70.0,288.0,0.16786011303836504
46,1752146378,5.0,0.0,5.0,5.0,0.709088,0.687068,70.0,288.0,0.15625253604357245
47,1752146383,5.0,0.0,5.0,5.0,0.709088,0.687068,70.0,288.0,0.16422070285875662
48,1752146388,5.0,0.0,5.0,5.0,0.692724,0.673265,70.0,288.0,0.16524089815723278
49,1752146393,5.0,0.0,5.0,5.0,0.692724,0.673265,70.0,288.0,0.17085462146112637
50,1752146398,5.0,0.0,5.0,5.0,0.692724,0.673265,70.0,288.0,0.15231619296919108
51,1752146403,5.0,0.0,5.0,5.0,0.692724,0.673265,70.0,288.0,0.16720635618699145
52,1752146408,5.0,0.0,5.0,5.0,0.692724,0.673265,70.0,288.0,0.16722963950985786
53,1752146413,5.0,0.0,5.0,5.0,0.692724,0.673265,70.0,288.0,0.16052296958720838
54,1752146418,5.0,0.0,5.0,5.0,0.689456,0.827707,70.0,288.0,0.16563869117522434
55,1752146423,5.0,0.0,5.0,5.0,0.689456,0.827707,70.0,288.0,0.16368347550875106
56,1752146428,5.0,0.0,5.0,5.0,0.689456,0.827707,70.0,288.0,0.16298974880714265
57,1752146433,5.0,0.0,5.0,5.0,0.689456,0.827707,70.0,288.0,0.14969824253783928
58,1752146438,5.0,0.0,5.0,5.0,0.689456,0.827707,70.0,288.0,0.16012227181303226
59,1752146443,5.0,0.0,5.0,5.0,0.689456,0.827707,70.0,288.0,0.15441590736596603
60,1752146448,5.0,0.0,5.0,5.0,0.664793,0.721594,70.0,288.0,0.16550268977081828
