Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/hotels,197567,11790,330.0,969.8008815371551,8.251866001955932,76025.48382100213,419.8033780945198,72.16503352999081,4.3065175121279955,330,720,1300,1700,2800,4000,5500,6400,9400,12000,76000
GET,/recommendations,126073,0,34,40.52289833616261,5.348599999706494,1082.5627829981386,440.15888413855464,46.05051588689676,0.0,34,41,47,51,68,87,120,150,290,370,1100
POST,/reservation,3281,0,340.0,543.131004512635,8.65431799684302,12307.048088998272,41.70801584882658,1.1984464764454583,0.0,340,450,540,610,900,1400,2300,4600,11000,12000,12000
POST,/user,3309,0,16,20.78892597522166,3.8019070016162004,333.2876979984576,64.0,1.208673998950936,0.0,16,20,23,26,36,51,77,95,180,330,330
,Aggregated,330230,11790,93,601.278798129921,3.8019070016162004,76025.48382100213,420.25274808466827,120.62266989228397,4.3065175121279955,93,260,480,760,2000,3100,4700,5800,8600,11000,76000
