,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752136563,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007989263055148855
1,1752136568,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007989263055148855
2,1752136573,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0005320250000000002
3,1752136578,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007465679988227133
4,1752136583,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007465679988227133
5,1752136588,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007465679988227133
6,1752136593,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009025586305537266
7,1752136598,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009025586305537266
8,1752136603,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009025586305537266
9,1752136608,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009440170855662559
10,1752136613,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009440170855662559
11,1752136618,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008911341168631886
12,1752136623,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009369100303023693
13,1752136628,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009369100303023693
14,1752136633,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009369100303023693
15,1752136638,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008199890147033967
16,1752136643,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008199890147033967
17,1752136648,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008199890147033967
18,1752136653,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000765178426319333
19,1752136658,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000765178426319333
20,1752136663,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000765178426319333
21,1752136668,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008478213533980119
22,1752136673,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008478213533980119
23,1752136678,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008478213533980119
24,1752136683,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008013291823982695
25,1752136688,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008013291823982695
26,1752136693,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008013291823982695
27,1752136698,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008298010240456289
28,1752136703,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008126443301057412
29,1752136708,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008126443301057412
30,1752136713,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009443788506536718
31,1752136718,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009443788506536718
32,1752136723,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.000936427868391451
33,1752136728,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.001000331497348021
34,1752136733,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009034090909090909
35,1752136738,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009034090909090909
36,1752136743,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007885372029963914
37,1752136748,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008104402652759193
38,1752136753,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008916240226758232
39,1752136758,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008916240226758232
40,1752136763,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007454946409940243
41,1752136768,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009502957954785548
42,1752136773,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009613407052040532
43,1752136778,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009613407052040532
44,1752136783,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009420593660908935
45,1752136788,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009420593660908935
46,1752136793,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008508364903405775
47,1752136798,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008798200354198631
48,1752136803,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0011563485548883219
49,1752136808,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0011563485548883219
50,1752136813,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009787811809283224
51,1752136818,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007914016803494364
52,1752136823,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0008969034184553936
53,1752136828,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0010164239312657176
54,1752136833,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.001081341321153884
55,1752136838,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.001081341321153884
56,1752136843,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009641530460624074
57,1752136848,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0009641530460624074
58,1752136853,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0007387983407627541
59,1752136858,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0006584522535908867
60,1752136863,1.0,0.0,1.0,0.0,0.0,0.0,70.0,-111.0,0.0005295999999999986
