,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752146148,5.0,0.0,5.0,5.0,0.188534,0.051219,70.0,288.0,0.01938864880193471
1,1752146153,5.0,0.0,5.0,5.0,0.188534,0.051219,70.0,288.0,0.010815100449596333
2,1752146158,5.0,0.0,5.0,5.0,0.188534,0.051219,70.0,288.0,0.008450687330669813
3,1752146163,5.0,0.0,5.0,5.0,0.188534,0.051219,70.0,288.0,0.0068571434221850105
4,1752146168,5.0,0.0,5.0,5.0,0.188534,0.051219,70.0,288.0,0.006521028413957264
5,1752146173,5.0,0.0,5.0,5.0,0.188534,0.051219,70.0,288.0,0.006908719798930929
6,1752146178,5.0,0.0,5.0,5.0,0.08134,0.05614,70.0,288.0,0.006898264171600513
7,1752146183,5.0,0.0,5.0,5.0,0.08134,0.05614,70.0,288.0,0.0070112314017415425
8,1752146188,5.0,0.0,5.0,5.0,0.08134,0.05614,70.0,288.0,0.006899277353563004
9,1752146193,5.0,0.0,5.0,5.0,0.08134,0.05614,70.0,288.0,0.006940808820623913
10,1752146198,5.0,0.0,5.0,5.0,0.08134,0.05614,70.0,288.0,0.006769532132055083
11,1752146203,5.0,0.0,5.0,5.0,0.08134,0.05614,70.0,288.0,0.006950257551993834
12,1752146208,5.0,0.0,5.0,5.0,0.200116,0.732348,70.0,288.0,0.007114256112421305
13,1752146213,5.0,0.0,5.0,5.0,0.200116,0.732348,70.0,288.0,0.0070585898009618495
14,1752146218,5.0,0.0,5.0,5.0,0.200116,0.732348,70.0,288.0,0.007995056054314002
15,1752146223,5.0,0.0,5.0,5.0,0.200116,0.732348,70.0,288.0,0.008080044018974204
16,1752146228,5.0,0.0,5.0,5.0,0.200116,0.732348,70.0,288.0,0.008490422551541092
17,1752146233,5.0,0.0,5.0,5.0,0.200116,0.732348,70.0,288.0,0.009031050841168314
18,1752146238,5.0,0.0,5.0,5.0,0.309434,0.169004,70.0,288.0,0.008920734617674519
19,1752146243,5.0,0.0,5.0,5.0,0.309434,0.169004,70.0,288.0,0.009125832996235346
20,1752146248,5.0,0.0,5.0,5.0,0.309434,0.169004,70.0,288.0,0.008848697467305688
21,1752146253,5.0,0.0,5.0,5.0,0.309434,0.169004,70.0,288.0,0.00885259812011193
22,1752146258,5.0,0.0,5.0,5.0,0.309434,0.169004,70.0,288.0,0.007982424318429469
23,1752146263,5.0,0.0,5.0,5.0,0.309434,0.169004,70.0,288.0,0.007860379163912093
24,1752146268,5.0,0.0,5.0,5.0,0.310481,0.405589,70.0,288.0,0.010900260788278287
25,1752146273,5.0,0.0,5.0,5.0,0.310481,0.405589,70.0,288.0,0.01383460363026228
26,1752146278,5.0,0.0,5.0,5.0,0.310481,0.405589,70.0,288.0,0.026650103552652155
27,1752146283,5.0,0.0,5.0,5.0,0.310481,0.405589,70.0,288.0,0.03723553957117444
28,1752146288,5.0,0.0,5.0,5.0,0.310481,0.405589,70.0,288.0,0.04481157978835973
29,1752146293,5.0,0.0,5.0,5.0,0.310481,0.405589,70.0,288.0,0.04963800762693551
30,1752146298,5.0,0.0,5.0,5.0,0.473205,0.789999,70.0,288.0,0.05307536266381555
31,1752146303,5.0,0.0,5.0,5.0,0.473205,0.789999,70.0,288.0,0.04616367903142437
32,1752146308,5.0,0.0,5.0,5.0,0.473205,0.789999,70.0,288.0,0.05192893892706683
33,1752146313,5.0,0.0,5.0,5.0,0.473205,0.789999,70.0,288.0,0.048073484194287544
34,1752146318,5.0,0.0,5.0,5.0,0.473205,0.789999,70.0,288.0,0.04407919027634448
35,1752146323,5.0,0.0,5.0,5.0,0.473205,0.789999,70.0,288.0,0.03707739737026155
36,1752146328,5.0,0.0,5.0,5.0,0.796258,0.568367,70.0,288.0,0.021601565692882463
37,1752146333,5.0,0.0,5.0,5.0,0.796258,0.568367,70.0,288.0,0.017205413734589652
38,1752146338,5.0,0.0,5.0,5.0,0.796258,0.568367,70.0,288.0,0.011414700753759305
39,1752146343,5.0,0.0,5.0,5.0,0.796258,0.568367,70.0,288.0,0.009879411663901399
40,1752146348,5.0,0.0,5.0,5.0,0.796258,0.568367,70.0,288.0,0.010284062550742339
41,1752146353,5.0,0.0,5.0,5.0,0.796258,0.568367,70.0,288.0,0.009434732566490803
42,1752146358,5.0,0.0,5.0,5.0,0.620205,0.160677,70.0,288.0,0.009973474695260743
43,1752146363,5.0,0.0,5.0,5.0,0.620205,0.160677,70.0,288.0,0.009398295541608247
44,1752146368,5.0,0.0,5.0,5.0,0.620205,0.160677,70.0,288.0,0.009602771468142004
45,1752146373,5.0,0.0,5.0,5.0,0.620205,0.160677,70.0,288.0,0.009600175439408467
46,1752146378,5.0,0.0,5.0,5.0,0.620205,0.160677,70.0,288.0,0.009405841902226018
47,1752146383,5.0,0.0,5.0,5.0,0.620205,0.160677,70.0,288.0,0.010773112604598319
48,1752146388,5.0,0.0,5.0,5.0,0.368684,0.19128,70.0,288.0,0.009617495280928775
49,1752146393,5.0,0.0,5.0,5.0,0.368684,0.19128,70.0,288.0,0.008922865048999994
50,1752146398,5.0,0.0,5.0,5.0,0.368684,0.19128,70.0,288.0,0.008614523325312155
51,1752146403,5.0,0.0,5.0,5.0,0.368684,0.19128,70.0,288.0,0.008878898149223737
52,1752146408,5.0,0.0,5.0,5.0,0.368684,0.19128,70.0,288.0,0.008615416684640758
53,1752146413,5.0,0.0,5.0,5.0,0.368684,0.19128,70.0,288.0,0.008971056035757125
54,1752146418,5.0,0.0,5.0,5.0,0.315781,0.14153,70.0,288.0,0.008663979192847445
55,1752146423,5.0,0.0,5.0,5.0,0.315781,0.14153,70.0,288.0,0.009516058290370699
56,1752146428,5.0,0.0,5.0,5.0,0.315781,0.14153,70.0,288.0,0.00914327705925987
57,1752146433,5.0,0.0,5.0,5.0,0.315781,0.14153,70.0,288.0,0.009707359062680866
58,1752146438,5.0,0.0,5.0,5.0,0.315781,0.14153,70.0,288.0,0.010092238603096269
59,1752146443,5.0,0.0,5.0,5.0,0.315781,0.14153,70.0,288.0,0.010220612869901741
60,1752146448,5.0,0.0,5.0,5.0,0.335457,0.625673,70.0,288.0,0.010437837706101535
