Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/hotels,65100,1,79,97.30186417338348,14.206457883119583,300008.1262309104,43.00213517665131,107.81364226891276,0.001656123537156878,79,99,110,120,140,170,210,260,2700,9100,300000
GET,/recommendations,40922,0,15,26.613580022543598,5.193978548049927,5597.520553506911,438.5242901128977,67.77188738753377,0.0,15,22,28,32,42,55,110,130,580,5600,5600
POST,/reservation,1073,0,24,36.51582689665931,7.923802360892296,4095.734159462154,60.72041006523765,1.7770205553693301,0.0,24,30,35,39,49,58,110,130,3100,4100,4100
POST,/user,1088,0,12,14.726822578642683,5.938232876360416,122.29754123836756,64.0,1.8018624084266834,0.0,12,14,16,17,22,27,40,76,110,120,120
,Aggregated,108183,1,45,69.12949857736865,5.193978548049927,300008.1262309104,193.0018117449137,179.16441262024253,0.001656123537156878,45,73,91,100,130,150,190,240,2600,8500,300000
