Method,Name,Error,Occurrences
GET,/hotels,HTTPError('500 Server Error: Internal Server Error for url: /hotels'),9925
GET,/recommendations,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to spark.lab.uvalight.net timed out. (connect timeout=None)')",11
GET,/hotels,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to spark.lab.uvalight.net timed out. (connect timeout=None)')",10
