,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity
0,1752786376,1.0,0.0,0.0,37.869875030814946,0.0,0.0,0.0,70.0,-211.0
1,1752786381,5.0,0.0,0.0,37.869875030814946,5.0,79.458273,142.029746,70.0,-354.0
2,1752786386,5.0,0.0,0.0,224.4800705202891,5.0,79.458273,142.029746,70.0,-354.0
3,1752786391,5.0,0.0,0.0,224.4800705202891,5.0,79.458273,142.029746,70.0,-354.0
4,1752786396,5.0,0.0,0.0,224.4800705202891,5.0,79.458273,142.029746,70.0,-354.0
5,1752786401,5.0,0.0,0.0,224.4800705202891,5.0,79.458273,142.029746,70.0,-354.0
6,1752786406,5.0,0.0,0.0,224.4800705202891,5.0,79.458273,142.029746,70.0,-354.0
7,1752786411,8.0,0.0,0.0,224.4800705202891,8.0,214.478663,509.557838,70.0,-721.0
8,1752786416,8.0,0.0,0.0,494.76490428466275,8.0,214.478663,509.557838,70.0,-721.0
9,1752786421,8.0,0.0,0.0,494.76490428466275,8.0,214.478663,509.557838,70.0,-721.0
10,1752786426,8.0,0.0,0.0,494.76490428466275,8.0,214.478663,509.557838,70.0,-721.0
11,1752786431,8.0,0.0,0.0,494.76490428466275,8.0,214.478663,509.557838,70.0,-721.0
12,1752786436,8.0,0.0,0.0,494.76490428466275,8.0,214.478663,509.557838,70.0,-721.0
13,1752786441,8.0,0.0,0.0,494.76490428466275,8.0,402.461193,454.581829,70.0,-666.0
14,1752786446,8.0,0.0,0.0,488.90593316361054,8.0,402.461193,454.581829,70.0,-666.0
15,1752786451,8.0,0.0,0.0,488.90593316361054,8.0,402.461193,454.581829,70.0,-666.0
16,1752786456,8.0,0.0,0.0,488.90593316361054,8.0,402.461193,454.581829,70.0,-666.0
17,1752786461,8.0,0.0,0.0,488.90593316361054,8.0,402.461193,454.581829,70.0,-666.0
18,1752786466,8.0,0.0,0.0,488.90593316361054,8.0,402.461193,454.581829,70.0,-666.0
19,1752786471,8.0,0.0,0.0,488.90593316361054,8.0,479.414448,494.847114,70.0,-706.0
20,1752786476,8.0,0.0,0.0,432.382105878653,8.0,479.414448,494.847114,70.0,-706.0
21,1752786481,8.0,0.0,0.0,432.382105878653,8.0,479.414448,494.847114,70.0,-706.0
22,1752786486,8.0,0.0,0.0,432.382105878653,8.0,479.414448,494.847114,70.0,-706.0
23,1752786491,8.0,0.0,0.0,432.382105878653,8.0,479.414448,494.847114,70.0,-706.0
24,1752786496,8.0,0.0,0.0,432.382105878653,8.0,479.414448,494.847114,70.0,-706.0
25,1752786501,8.0,0.0,0.0,432.382105878653,8.0,458.541634,442.58521,70.0,-654.0
